Q,CG,CGK,M1,M2
72,-345.7427429,-403.7372855,-301.6915069,-335.7917801
73,-344.0821268,-399.3381888,-301.6915069,-335.7917801
74,-342.3587778,-396.2151745,-301.6915069,-335.7917801
75,-341.2819289,-403.0827124,-301.6915069,-335.7917801
76,-340.0461143,-389.2882161,-301.6915069,-335.7917801
77,-338.3005138,-389.0265775,-301.6915069,-335.7917801
78,-335.9482262,-381.6707072,-301.6915069,-335.7917801
79,-335.149507,-380.5920177,-301.6915069,-335.7917801
80,-334.6066829,-382.7110124,-301.6915069,-335.7917801
81,-333.7061993,-379.1115063,-301.6915069,-335.7917801
82,-331.6640995,-373.1445769,-301.6915069,-335.7917801
83,-330.9719391,-366.737435,-301.6915069,-335.7917801
84,-330.0065241,-366.6466357,-301.6915069,-335.7917801
85,-328.9881002,-366.5356826,-301.6915069,-335.7917801
86,-326.8756804,-361.0606286,-301.6915069,-335.7917801
87,-326.2652543,-361.0843133,-301.6915069,-335.7917801
88,-325.7346265,-366.465252,-301.6915069,-335.7917801
89,-325.0152655,-369.1067086,-301.6915069,-335.7917801
90,-324.4231549,-369.7439581,-301.6915069,-335.7917801
91,-323.7988002,-370.1441163,-301.6915069,-335.7917801
92,-322.9740297,-365.084016,-301.6915069,-335.7917801
93,-322.1866459,-366.7975992,-301.6915069,-335.7917801
94,-321.6218636,-357.8573456,-301.6915069,-335.7917801
95,-321.3490984,-357.1490665,-301.6915069,-335.7917801
96,-320.6286908,-362.839278,-301.6915069,-335.7917801
97,-319.6654129,-367.0793545,-301.6915069,-335.7917801
98,-318.42406,-363.4034743,-301.6915069,-335.7917801
99,-317.9818389,-361.5883779,-301.6915069,-335.7917801
100,-317.1775908,-361.1861292,-301.6915069,-335.7917801
101,-316.4997776,-355.7672526,-301.6915069,-335.7917801
102,-315.9687202,-355.2245443,-301.6915069,-335.7917801
103,-315.0270319,-357.9062649,-301.6915069,-335.7917801
104,-314.3319984,-358.9453956,-301.6915069,-335.7917801
105,-313.7224383,-356.5672986,-301.6915069,-335.7917801
106,-313.4734692,-355.882405,-301.6915069,-335.7917801
107,-313.0830672,-354.6335536,-301.6915069,-335.7917801
108,-312.5178388,-351.6198946,-301.6915069,-335.7917801
109,-312.0239444,-351.3917749,-301.6915069,-335.7917801
110,-311.7551403,-348.7901832,-301.6915069,-335.7917801
111,-311.2847379,-348.1274178,-301.6915069,-335.7917801
112,-310.7500693,-351.3738155,-301.6915069,-335.7917801
113,-310.3103473,-352.1632771,-301.6915069,-335.7917801
114,-310.040991,-347.4820018,-301.6915069,-335.7917801
115,-309.5178335,-345.5104575,-301.6915069,-335.7917801
116,-309.2444025,-338.9112809,-301.6915069,-335.7917801
117,-308.8716275,-336.4955006,-301.6915069,-335.7917801
118,-308.6022551,-340.1236629,-301.6915069,-335.7917801
119,-308.3857701,-341.0707046,-301.6915069,-335.7917801
120,-308.2071102,-340.511688,-301.6915069,-335.7917801
121,-307.9834027,-339.1423987,-301.6915069,-335.7917801
122,-307.6649982,-342.5461154,-301.6915069,-335.7917801
123,-307.5282456,-342.79354,-301.6915069,-335.7917801
124,-306.9961197,-341.0364104,-301.6915069,-335.7917801
125,-306.7033221,-339.7295429,-301.6915069,-335.7917801
126,-306.5586506,-341.6081674,-301.6915069,-335.7917801
127,-306.4946865,-341.6081674,-301.6915069,-335.7917801
128,-306.2396765,-347.0128952,-301.6915069,-335.7917801
129,-306.0303875,-337.9758646,-301.6915069,-335.7917801
130,-305.8142832,-345.6287059,-301.6915069,-335.7917801
131,-305.6308925,-345.868327,-301.6915069,-335.7917801
132,-305.4545475,-338.8587232,-301.6915069,-335.7917801
133,-305.2707568,-345.9132263,-301.6915069,-335.7917801
134,-305.192303,-342.5252008,-301.6915069,-335.7917801
135,-304.9724329,-342.1588715,-301.6915069,-335.7917801
136,-304.8245704,-342.6622081,-301.6915069,-335.7917801
137,-304.4777606,-339.4890385,-301.6915069,-335.7917801
138,-304.3022811,-333.6732037,-301.6915069,-335.7917801
139,-304.079314,-338.3212296,-301.6915069,-335.7917801
140,-303.9022221,-339.1991688,-301.6915069,-335.7917801
141,-303.8298806,-336.6597786,-301.6915069,-335.7917801
142,-303.7544538,-339.4211925,-301.6915069,-335.7917801
143,-303.6699559,-339.0377977,-301.6915069,-335.7917801
144,-303.5056866,-339.0406101,-301.6915069,-335.7917801
145,-303.4317409,-339.7148288,-301.6915069,-335.7917801
146,-303.293476,-337.6535682,-301.6915069,-335.7917801
147,-303.196977,-339.1863987,-301.6915069,-335.7917801
148,-302.8853528,-334.4021986,-301.6915069,-335.7917801
149,-302.7830323,-333.9430486,-301.6915069,-335.7917801
150,-302.5091741,-328.1723993,-301.6915069,-335.7917801
151,-302.418373,-329.4646699,-301.6915069,-335.7917801
152,-302.197776,-330.2447012,-301.6915069,-335.7917801
153,-302.0411923,-330.0336082,-301.6915069,-335.7917801
154,-301.988591,-330.0336082,-301.6915069,-335.7917801
155,-301.817851,-332.2722638,-301.6915069,-335.7917801
156,-301.729829,-332.8170935,-301.6915069,-335.7917801
157,-301.6203811,-325.7073456,-301.6915069,-335.7917801
158,-301.5490482,-332.0871203,-301.6915069,-335.7917801
159,-301.4685295,-330.046531,-301.6915069,-335.7917801
160,-301.3935169,-338.7249114,-301.6915069,-335.7917801
