i, 0, Q, 1, method, 1, obj, -900.178991923, running time, 0.258985996246, 
i, 0, Q, 1, method, 2, obj, -1081.65464285, running time, 0.336215019226, 
i, 0, Q, 1, method, relaxed, obj, -679.346717818, running time, 0.0528750419617, 
i, 0, Q, 2, method, 1, obj, -815.649882782, running time, 0.515158891678, 
i, 0, Q, 2, method, 2, obj, -959.961638162, running time, 0.751425027847, 
i, 0, Q, 2, method, relaxed, obj, -679.346717818, running time, 0.0549938678741, 
i, 0, Q, 3, method, 1, obj, -774.696522464, running time, 1.19738817215, 
i, 0, Q, 3, method, 2, obj, -947.414451279, running time, 1.47514200211, 
i, 0, Q, 3, method, relaxed, obj, -679.346717818, running time, 0.0562489032745, 
i, 0, Q, 4, method, 1, obj, -774.658571447, running time, 17.4420421124, 
i, 0, Q, 4, method, 2, obj, -910.439903056, running time, 2.47965407372, 
i, 0, Q, 4, method, relaxed, obj, -679.346717818, running time, 0.0555851459503, 
i, 0, Q, 5, method, 1, obj, -759.396656375, running time, 15.2379980087, 
i, 0, Q, 5, method, 2, obj, -916.792821877, running time, 4.73947620392, 
i, 0, Q, 5, method, relaxed, obj, -679.346717818, running time, 0.137575149536, 
i, 0, Q, 6, method, 1, obj, -762.530566873, running time, 25.6586380005, 
i, 0, Q, 6, method, 2, obj, -913.679271651, running time, 5.17050790787, 
i, 0, Q, 6, method, relaxed, obj, -679.346717818, running time, 0.0592448711395, 
i, 0, Q, 7, method, 1, obj, -756.995854016, running time, 50.4174900055, 
i, 0, Q, 7, method, 2, obj, -913.753015503, running time, 14.3680400848, 
i, 0, Q, 7, method, relaxed, obj, -679.346717818, running time, 0.0539429187775, 
i, 0, Q, 8, method, 1, obj, -752.016790347, running time, 87.9113070965, 
i, 0, Q, 8, method, 2, obj, -926.702915178, running time, 19.3237230778, 
i, 0, Q, 8, method, relaxed, obj, -679.346717818, running time, 0.0559241771698, 
i, 0, Q, 9, method, 1, obj, -752.726045654, running time, 46.9898309708, 
i, 0, Q, 9, method, 2, obj, -914.896326492, running time, 29.6964359283, 
i, 0, Q, 9, method, relaxed, obj, -679.346717818, running time, 0.0542948246002, 
i, 0, Q, 10, method, 1, obj, -754.820027979, running time, 184.022096157, 
i, 0, Q, 10, method, 2, obj, -910.677513138, running time, 62.3223450184, 
i, 0, Q, 10, method, relaxed, obj, -679.346717818, running time, 0.0535430908203, 
i, 1, Q, 1, method, 1, obj, -1108.32976533, running time, 0.274288892746, 
i, 1, Q, 1, method, 2, obj, -1169.62934128, running time, 0.326061010361, 
i, 1, Q, 1, method, relaxed, obj, -949.054588853, running time, 0.0425741672516, 
i, 1, Q, 2, method, 1, obj, -1025.42705299, running time, 1.05950689316, 
i, 1, Q, 2, method, 2, obj, -1111.33663423, running time, 0.807286977768, 
i, 1, Q, 2, method, relaxed, obj, -949.054588853, running time, 0.0475771427155, 
i, 1, Q, 3, method, 1, obj, -1005.37167923, running time, 3.04937815666, 
i, 1, Q, 3, method, 2, obj, -1086.26207272, running time, 1.58426594734, 
i, 1, Q, 3, method, relaxed, obj, -949.054588853, running time, 0.0430610179901, 
i, 1, Q, 4, method, 1, obj, -993.021268961, running time, 9.12041306496, 
i, 1, Q, 4, method, 2, obj, -1072.32922812, running time, 3.45779395103, 
i, 1, Q, 4, method, relaxed, obj, -949.054588853, running time, 0.0473070144653, 
i, 1, Q, 5, method, 1, obj, -988.813694508, running time, 40.8215329647, 
i, 1, Q, 5, method, 2, obj, -1067.1004391, running time, 4.95998120308, 
i, 1, Q, 5, method, relaxed, obj, -949.054588853, running time, 0.0428321361542, 
i, 1, Q, 6, method, 1, obj, -989.370906806, running time, 57.8075339794, 
i, 1, Q, 6, method, 2, obj, -1063.69712602, running time, 8.99341106415, 
i, 1, Q, 6, method, relaxed, obj, -949.054588853, running time, 0.0418560504913, 
i, 1, Q, 7, method, 1, obj, -983.95779301, running time, 55.0187690258, 
i, 1, Q, 7, method, 2, obj, -1065.4895129, running time, 30.7476181984, 
i, 1, Q, 7, method, relaxed, obj, -949.054588853, running time, 0.0415542125702, 
i, 1, Q, 8, method, 1, obj, -984.714272787, running time, 60.5290701389, 
i, 1, Q, 8, method, 2, obj, -1066.27780685, running time, 38.3621048927, 
i, 1, Q, 8, method, relaxed, obj
i, 1, Q, 9, method, 1, obj, -984.556200797, running time, 106.244362116, 
i, 1, Q, 9, method, 2, obj, -1061.45932298, running time, 79.4267759323, 
i, 1, Q, 9, method, relaxed, obj
i, 1, Q, 10, method, 1, obj, -981.855474833, running time, 141.994597197, 
i, 1, Q, 10, method, 2, obj, -1062.56356263, running time, 85.2005798817, 
i, 1, Q, 10, method, relaxed, obj
i, 2, Q, 1, method, 1, obj, -1059.39411349, running time, 0.380880832672
i, 2, Q, 1, method, 2, obj, -1142.29151131, running time, 0.387218952179
i, 2, Q, 1, method, relaxed, obj, , running time,
i, 2, Q, 2, method, 1, obj, -1015.09992841, running time, 8.23778986931
i, 2, Q, 2, method, 2, obj, -1122.7412284, running time, 0.714206933975
i, 2, Q, 2, method, relaxed, obj, , running time,
i, 2, Q, 3, method, 1, obj, -1011.78073168, running time, 13.724738121
i, 2, Q, 3, method, 2, obj, -1139.68143424, running time, 1.66605806351
i, 2, Q, 3, method, relaxed, obj, , running time,
i, 2, Q, 4, method, 1, obj, -1001.23171955, running time, 20.039509058
i, 2, Q, 4, method, 2, obj, -1113.67426656, running time, 2.3312997818
i, 2, Q, 4, method, relaxed, obj, , running time,
i, 2, Q, 5, method, 1, obj, -1000.04058283, running time, 58.0990989208
i, 2, Q, 5, method, 2, obj, -1107.6048348, running time, 5.86109995842
i, 2, Q, 5, method, relaxed, obj, , running time,
i, 2, Q, 6, method, 1, obj, -1004.14355607, running time, 68.356746912
i, 2, Q, 6, method, 2, obj, -1098.79041948, running time, 5.39308190346
i, 2, Q, 6, method, relaxed, obj, , running time,
i, 2, Q, 7, method, 1, obj, -997.287901209, running time, 115.196681023
i, 2, Q, 7, method, 2, obj, -1100.8637655, running time, 15.1826469898
i, 2, Q, 7, method, relaxed, obj, , running time,
i, 2, Q, 8, method, 1, obj, -998.135997488, running time, 364.672014952
i, 2, Q, 8, method, 2, obj, -1095.38092637, running time, 18.2046070099
i, 2, Q, 8, method, relaxed, obj, , running time,
i, 2, Q, 9, method, 1, obj, -995.340861992, running time, 210.557574987
