i, 0, Q, 5, method, 1, obj, -163.860653952, running time, 22.1322081089, 
i, 0, Q, 5, method, 2, obj, -200.166569998, running time, 30.1638889313, 
i, 0, Q, 5, method, relaxed, obj, -117.507437314, running time, 0.108294963837, 
i, 1, Q, 5, method, 1, obj, -311.91455447, running time, 52.5207901001, 
i, 1, Q, 5, method, 2, obj, -314.737953984, running time, 19.2986340523, 
i, 1, Q, 5, method, relaxed, obj, -300.85334344, running time, 0.165276050568, 
i, 2, Q, 5, method, 1, obj, -316.144841474, running time, 600.469434977, 
i, 2, Q, 5, method, 2, obj, -365.288388103, running time, 21.3952479362, 
i, 2, Q, 5, method, relaxed, obj, -267.016101991, running time, 0.192111968994, 
i, 3, Q, 5, method, 1, obj, -327.104455774, running time, 6.08899307251, 
i, 3, Q, 5, method, 2, obj, -372.602771149, running time, 6.87451386452, 
i, 3, Q, 5, method, relaxed, obj, -288.65765826, running time, 0.107670068741, 
i, 4, Q, 5, method, 1, obj, -202.692248615, running time, 42.0542161465, 
i, 4, Q, 5, method, 2, obj, -204.564975704, running time, 9.03374695778, 
i, 4, Q, 5, method, relaxed, obj, -194.722558264, running time, 0.1592669487, 
i, 5, Q, 5, method, 1, obj, -224.35997665, running time, 14.396613121, 
i, 5, Q, 5, method, 2, obj, -235.27556479, running time, 9.61422395706, 
i, 5, Q, 5, method, relaxed, obj, -203.14272543, running time, 0.117799043655, 
i, 6, Q, 5, method, 1, obj, -293.651261596, running time, 600.488929987, 
i, 6, Q, 5, method, 2, obj, -294.881286033, running time, 602.542538881, 
i, 6, Q, 5, method, relaxed, obj, -260.925523867, running time, 0.175868988037, 
i, 7, Q, 5, method, 1, obj, -354.885900393, running time, 3.50900006294, 
i, 7, Q, 5, method, 2, obj, -357.622359744, running time, 3.60597491264, 
i, 7, Q, 5, method, relaxed, obj, -351.676448793, running time, 0.119705915451, 
i, 8, Q, 5, method, 1, obj, -240.231691816, running time, 600.470402956, 
i, 8, Q, 5, method, 2, obj, -266.215449644, running time, 325.521113157, 
i, 8, Q, 5, method, relaxed, obj, -199.069224034, running time, 0.10786318779, 
i, 9, Q, 5, method, 1, obj, -415.964929699, running time, 214.830259085, 
i, 9, Q, 5, method, 2, obj, -1053.64374839, running time, 5.20707297325, 
i, 9, Q, 5, method, relaxed, obj, -284.021677172, running time, 0.17251086235, 
