i, 0, maxT, 10, method, 1, obj, -380.9897704, running time, 38.3886189461, 
i, 0, maxT, 10, method, 2, obj, -385.068257222, running time, 23.7678220272, 
i, 0, maxT, 10, method, relaxed, obj, -378.065006493, running time, 1.6023209095, 
i, 0, maxT, 10, method, 1, obj, -607.00062244, running time, 46.0441811085, 
i, 0, maxT, 10, method, 2, obj, -616.568508133, running time, 16.5629620552, 
i, 0, maxT, 10, method, relaxed, obj, -595.061196621, running time, 1.10050988197, 
i, 0, maxT, 10, method, 1, obj, -715.042149909, running time, 117.814730167, 
i, 0, maxT, 10, method, 2, obj, -724.154751218, running time, 46.952259779, 
i, 0, maxT, 10, method, relaxed, obj, -705.300346421, running time, 1.51696181297, 
i, 0, maxT, 10, method, 1, obj, -556.440421579, running time, 36.2908689976, 
i, 0, maxT, 10, method, 2, obj, -561.910457417, running time, 19.8495359421, 
i, 0, maxT, 10, method, relaxed, obj, -546.320047611, running time, 1.11618185043, 
i, 0, maxT, 10, method, 1, obj, -605.503600462, running time, 53.079957962, 
i, 0, maxT, 10, method, 2, obj, -623.229166078, running time, 17.813888073, 
i, 0, maxT, 10, method, relaxed, obj, -591.948967281, running time, 0.476347923279, 
i, 0, maxT, 10, method, 1, obj, -883.310865821, running time, 4.99382305145, 
i, 0, maxT, 10, method, 2, obj, -1107.12675541, running time, 0.942984104156, 
i, 0, maxT, 10, method, relaxed, obj, -781.222842568, running time, 0.229032993317, 
i, 0, maxT, 10, method, 1, obj, -371.118201954, running time, 1.22994112968, 
i, 0, maxT, 10, method, 2, obj, -571.04349092, running time, 0.60444188118, 
i, 0, maxT, 10, method, relaxed, obj, -306.653541411, running time, 0.134337902069, 
i, 0, maxT, 10, method, 1, obj, -876.657933231, running time, 3.25627493858, 
i, 0, maxT, 10, method, 2, obj, -882.835939404, running time, 2.16020107269, 
i, 0, maxT, 10, method, relaxed, obj, -858.302359584, running time, 0.27644610405, 
i, 0, maxT, 10, method, 1, obj, -1214.95282413, running time, 4.81090092659, 
i, 0, maxT, 10, method, 2, obj, -1289.07041321, running time, 1.69344186783, 
i, 0, maxT, 10, method, relaxed, obj, -1135.42882096, running time, 0.208928823471, 
i, 0, maxT, 10, method, 1, obj, -617.433050967, running time, 3.02844190598, 
i, 0, maxT, 10, method, 2, obj, -620.728448183, running time, 1.57293796539, 
i, 0, maxT, 10, method, relaxed, obj, -599.642532568, running time, 0.182379961014, 
i, 0, maxT, 10, method, 1, obj, -502.382091932, running time, 2.14287805557, 
i, 0, maxT, 10, method, 2, obj, -505.773790274, running time, 2.26950192451, 
i, 0, maxT, 10, method, relaxed, obj, -498.360216118, running time, 0.267251968384, 
i, 0, maxT, 10, method, 1, obj, -458.641237189, running time, 13.3814628124, 
i, 0, maxT, 10, method, 2, obj, -1357.51962152, running time, 4.59140706062, 
i, 0, maxT, 10, method, relaxed, obj, -415.592724834, running time, 0.246402025223, 
i, 0, maxT, 10, method, 1, obj, -625.624434581, running time, 19779.2635651, 
i, 0, maxT, 10, method, 2, obj, -638.034873325, running time, 13088.4658608, 
i, 0, maxT, 10, method, relaxed, obj, -615.064551597, running time, 2.50384688377, 
i, 0, maxT, 10, method, 1, obj, -652.167366474, running time, 462.246768951, 
i, 0, maxT, 10, method, 2, obj, -663.61325169, running time, 71.6355130672, 
i, 0, maxT, 10, method, relaxed, obj, -644.229771051, running time, 2.92702198029, 
