i, 0, maxT, 1, method, 1, obj, -468.638313519, running time, 0.286293983459, 
i, 0, maxT, 1, method, 2, obj, -631.49554244, running time, 0.780493021011, 
i, 0, maxT, 1, method, relaxed, obj, -305.767285042, running time, 0.113549947739, 
i, 0, maxT, 2, method, 1, obj, -337.7446768, running time, 4.42377781868, 
i, 0, maxT, 2, method, 2, obj, -402.79545455, running time, 3.40264487267, 
i, 0, maxT, 2, method, relaxed, obj, -305.767285042, running time, 0.0970208644867, 
i, 0, maxT, 3, method, 1, obj, -330.523241003, running time, 12.660063982, 
i, 0, maxT, 3, method, 2, obj, -349.222874393, running time, 1.64720582962, 
i, 0, maxT, 3, method, relaxed, obj, -305.767285042, running time, 0.110327005386, 
i, 0, maxT, 4, method, 1, obj, -327.507211733, running time, 12.1662931442, 
i, 0, maxT, 4, method, 2, obj, -349.038185698, running time, 1.43275880814, 
i, 0, maxT, 4, method, relaxed, obj, -305.767285042, running time, 0.0954279899597, 
i, 0, maxT, 5, method, 1, obj, -327.574556991, running time, 8.1632437706, 
i, 0, maxT, 5, method, 2, obj, -347.564268107, running time, 1.24968194962, 
i, 0, maxT, 5, method, relaxed, obj, -305.767285042, running time, 0.0899469852448, 
i, 0, maxT, 6, method, 1, obj, -326.607065619, running time, 5.87643814087, 
i, 0, maxT, 6, method, 2, obj, -346.594987511, running time, 1.36262583733, 
i, 0, maxT, 6, method, relaxed, obj, -305.767285042, running time, 0.120246887207, 
i, 0, maxT, 7, method, 1, obj, -326.62437202, running time, 6.36974096298, 
i, 0, maxT, 7, method, 2, obj, -348.437682633, running time, 1.45818901062, 
i, 0, maxT, 7, method, relaxed, obj, -305.767285042, running time, 0.091952085495, 
i, 0, maxT, 8, method, 1, obj, -327.218595418, running time, 7.27614712715, 
i, 0, maxT, 8, method, 2, obj, -349.184475704, running time, 1.45825791359, 
i, 0, maxT, 8, method, relaxed, obj, -305.767285042, running time, 0.116523981094, 
i, 0, maxT, 9, method, 1, obj, -327.4620784, running time, 5.57436203957, 
i, 0, maxT, 9, method, 2, obj, -348.361281657, running time, 1.33898615837, 
i, 0, maxT, 9, method, relaxed, obj, -305.767285042, running time, 0.0942912101746, 
i, 0, maxT, 10, method, 1, obj, -326.553245833, running time, 6.08206009865, 
i, 0, maxT, 10, method, 2, obj, -348.337854939, running time, 1.39019489288, 
i, 0, maxT, 10, method, relaxed, obj, -305.767285042, running time, 0.108938932419, 
i, 1, maxT, 1, method, 1, obj, -356.128073857, running time, 0.317759037018, 
i, 1, maxT, 1, method, 2, obj, -437.646952089, running time, 0.738493919373, 
i, 1, maxT, 1, method, relaxed, obj, -211.307667154, running time, 0.0822479724884, 
