i, 0, maxT, 5, method, 1, obj, -217.038844885, running time, 0.359749078751, 
i, 0, maxT, 5, method, 2, obj, -218.203683604, running time, 1.14945888519, 
i, 0, maxT, 5, method, relaxed, obj, -217.038844885, running time, 0.100650072098, 
i, 0, maxT, 10, method, 1, obj, -217.038844885, running time, 0.391239881516, 
i, 0, maxT, 10, method, 2, obj, -218.954939837, running time, 1.21167397499, 
i, 0, maxT, 10, method, relaxed, obj, -217.038844885, running time, 0.106100082397, 
i, 0, maxT, 15, method, 1, obj, -217.038844885, running time, 0.371400117874, 
i, 0, maxT, 15, method, 2, obj, -218.954939837, running time, 1.19529891014, 
i, 0, maxT, 15, method, relaxed, obj, -217.038844885, running time, 0.0988819599152, 
i, 0, maxT, 20, method, 1, obj, -217.038844885, running time, 0.374543190002, 
i, 0, maxT, 20, method, 2, obj, -218.954939837, running time, 1.2323949337, 
i, 0, maxT, 20, method, relaxed, obj, -217.038844885, running time, 0.105190992355, 
i, 0, maxT, 25, method, 1, obj, -217.038844885, running time, 0.377093791962, 
i, 0, maxT, 25, method, 2, obj, -218.954939837, running time, 1.23535108566, 
i, 0, maxT, 25, method, relaxed, obj, -217.038844885, running time, 0.104059934616, 
i, 0, maxT, 5, method, 1, obj, -537.783111016, running time, 77.1686351299, 
i, 0, maxT, 5, method, 2, obj, -682.006640211, running time, 3.59633493423, 
i, 0, maxT, 5, method, relaxed, obj, -493.222430747, running time, 0.196833848953, 
i, 0, maxT, 10, method, 1, obj, -528.456444947, running time, 2.72857189178, 
i, 0, maxT, 10, method, 2, obj, -682.446585682, running time, 2.61062884331, 
i, 0, maxT, 10, method, relaxed, obj, -493.222430747, running time, 0.21459197998, 
i, 0, maxT, 15, method, 1, obj, -528.283784025, running time, 2.11288189888, 
i, 0, maxT, 15, method, 2, obj, -677.624117562, running time, 2.28732800484, 
i, 0, maxT, 15, method, relaxed, obj, -493.222430747, running time, 0.186000108719, 
i, 0, maxT, 20, method, 1, obj, -529.790024733, running time, 2.08864116669, 
i, 0, maxT, 20, method, 2, obj, -682.155790632, running time, 2.00476789474, 
i, 0, maxT, 20, method, relaxed, obj, -493.222430747, running time, 0.178176879883, 
i, 0, maxT, 25, method, 1, obj, -528.841491422, running time, 1.73006486893, 
i, 0, maxT, 25, method, 2, obj, -683.574896426, running time, 1.93826293945, 
i, 0, maxT, 25, method, relaxed, obj, -493.222430747, running time, 0.187109947205, 
i, 0, maxT, 30, method, 1, obj, -528.190330942, running time, 2.30259108543, 
i, 0, maxT, 30, method, 2, obj, -683.553706946, running time, 2.0992538929, 
i, 0, maxT, 30, method, relaxed, obj, -493.222430747, running time, 0.191917896271, 
