i, 2, maxT, 7, method, 1, obj, -477.68710339, running time, 17.0088851452, 
i, 2, maxT, 7, method, 2, obj, -486.646511583, running time, 3.92538690567, 
i, 2, maxT, 7, method, relaxed, obj, -412.236888555, running time, 0.149863004684, 
i, 2, maxT, 8, method, 1, obj, -477.584832574, running time, 18.644810915, 
i, 2, maxT, 8, method, 2, obj, -484.448624654, running time, 3.26152610779, 
i, 2, maxT, 8, method, relaxed, obj, -412.236888555, running time, 0.18754196167, 
i, 2, maxT, 9, method, 1, obj, -477.05616334, running time, 10.7353348732, 
i, 2, maxT, 9, method, 2, obj, -483.601859692, running time, 3.1484670639, 
i, 2, maxT, 9, method, relaxed, obj, -412.236888555, running time, 0.164651155472, 
i, 2, maxT, 10, method, 1, obj, -477.004495485, running time, 14.8231899738, 
i, 2, maxT, 10, method, 2, obj, -483.081858565, running time, 3.25966691971, 
i, 2, maxT, 10, method, relaxed, obj, -412.236888555, running time, 0.171443939209, 
i, 3, maxT, 1, method, 1, obj, -903.308431145, running time, 0.405034065247, 
i, 3, maxT, 1, method, 2, obj, -1042.35607197, running time, 1.31658315659, 
i, 3, maxT, 1, method, relaxed, obj, -637.184640882, running time, 0.16552400589, 
i, 3, maxT, 2, method, 1, obj, -742.537060501, running time, 2.71398210526, 
i, 3, maxT, 2, method, 2, obj, -797.987904325, running time, 4.18712687492, 
i, 3, maxT, 2, method, relaxed, obj, -637.184640882, running time, 0.131217956543, 
i, 3, maxT, 3, method, 1, obj, -701.18616903, running time, 4.06973290443, 
i, 3, maxT, 3, method, 2, obj, -713.918770403, running time, 3.40155291557, 
i, 3, maxT, 3, method, relaxed, obj, -637.184640882, running time, 0.170367956161, 
i, 3, maxT, 4, method, 1, obj, -691.079470288, running time, 5.81891584396, 
i, 3, maxT, 4, method, 2, obj, -699.812591694, running time, 3.04764914513, 
i, 3, maxT, 4, method, relaxed, obj, -637.184640882, running time, 0.117523193359, 
i, 3, maxT, 5, method, 1, obj, -691.544948139, running time, 4.88132095337, 
i, 3, maxT, 5, method, 2, obj, -694.104720964, running time, 2.19744801521, 
i, 3, maxT, 5, method, relaxed, obj, -637.184640882, running time, 0.119590044022, 
i, 3, maxT, 6, method, 1, obj, -691.048894386, running time, 3.79696583748, 
i, 3, maxT, 6, method, 2, obj, -692.795197224, running time, 2.44604802132, 
i, 3, maxT, 6, method, relaxed, obj, -637.184640882, running time, 0.122167110443, 
i, 3, maxT, 7, method, 1, obj, -691.238059741, running time, 3.1587870121, 
i, 3, maxT, 7, method, 2, obj, -692.373287579, running time, 2.38209581375, 
i, 3, maxT, 7, method, relaxed, obj, -637.184640882, running time, 0.141490936279, 
i, 3, maxT, 8, method, 1, obj, -691.048894386, running time, 2.87690186501, 
i, 3, maxT, 8, method, 2, obj, -693.724396009, running time, 2.73201203346, 
i, 3, maxT, 8, method, relaxed, obj, -637.184640882, running time, 0.196741104126, 
i, 3, maxT, 9, method, 1, obj, -691.063183282, running time, 3.90115308762, 
i, 3, maxT, 9, method, 2, obj, -692.818703522, running time, 2.00930595398, 
i, 3, maxT, 9, method, relaxed, obj, -637.184640882, running time, 0.138066053391, 
i, 3, maxT, 10, method, 1, obj, -691.740811587, running time, 2.69433498383, 
i, 3, maxT, 10, method, 2, obj, -692.23022485, running time, 2.32572197914, 
i, 3, maxT, 10, method, relaxed, obj, -637.184640882, running time, 0.156088113785, 
i, 4, maxT, 1, method, 1, obj, -1117.96375925, running time, 0.447453975677, 
i, 4, maxT, 1, method, 2, obj, -1226.92772609, running time, 1.26626896858, 
i, 4, maxT, 1, method, relaxed, obj, -1027.85952201, running time, 0.108175039291, 
i, 4, maxT, 2, method, 1, obj, -1027.85952201, running time, 0.410708904266, 
i, 4, maxT, 2, method, 2, obj, -1027.85952201, running time, 1.26322007179, 
i, 4, maxT, 2, method, relaxed, obj, -1027.85952201, running time, 0.149494886398, 
i, 4, maxT, 3, method, 1, obj, -1027.85952201, running time, 0.322129964828, 
i, 4, maxT, 3, method, 2, obj, -1027.85952201, running time, 1.19252300262, 
i, 4, maxT, 3, method, relaxed, obj, -1027.85952201, running time, 0.124827861786, 
i, 4, maxT, 4, method, 1, obj, -1027.85952201, running time, 0.406393051147, 
i, 4, maxT, 4, method, 2, obj, -1027.85952201, running time, 1.0782430172, 
i, 4, maxT, 4, method, relaxed, obj, -1027.85952201, running time, 0.115739822388, 
i, 4, maxT, 5, method, 1, obj, -1027.85952201, running time, 0.363895893097, 
i, 4, maxT, 5, method, 2, obj, -1027.85952201, running time, 1.17792105675, 
i, 4, maxT, 5, method, relaxed, obj, -1027.85952201, running time, 0.0978841781616, 
i, 4, maxT, 6, method, 1, obj, -1037.58488652, running time, 0.383970975876, 
i, 4, maxT, 6, method, 2, obj, -1027.85952201, running time, 1.0473139286, 
i, 4, maxT, 6, method, relaxed, obj, -1027.85952201, running time, 0.118124961853, 
i, 4, maxT, 7, method, 1, obj, -1027.85952201, running time, 0.304313182831, 
i, 4, maxT, 7, method, 2, obj, -1027.85952201, running time, 1.19427394867, 
i, 4, maxT, 7, method, relaxed, obj, -1027.85952201, running time, 0.0870180130005, 
i, 4, maxT, 8, method, 1, obj, -1027.85952201, running time, 0.418961048126, 
i, 4, maxT, 8, method, 2, obj, -1027.85952201, running time, 1.03538990021, 
i, 4, maxT, 8, method, relaxed, obj, -1027.85952201, running time, 0.101099014282, 
i, 4, maxT, 9, method, 1, obj, -1027.85952201, running time, 0.328639984131, 
i, 4, maxT, 9, method, 2, obj, -1027.85952201, running time, 1.18157315254, 
i, 4, maxT, 9, method, relaxed, obj, -1027.85952201, running time, 0.107753992081, 
i, 4, maxT, 10, method, 1, obj, -1027.85952201, running time, 0.371711015701, 
i, 4, maxT, 10, method, 2, obj, -1027.85952201, running time, 1.13705801964, 
i, 4, maxT, 10, method, relaxed, obj, -1027.85952201, running time, 0.0930891036987, 
i, 5, maxT, 1, method, 1, obj, -1329.73188714, running time, 0.50294303894, 
i, 5, maxT, 1, method, 2, obj, -1465.39859823, running time, 1.6763010025, 
i, 5, maxT, 1, method, relaxed, obj, -545.546228318, running time, 0.229302167892, 
i, 5, maxT, 2, method, 1, obj, -669.575932776, running time, 3.05154085159, 
i, 5, maxT, 2, method, 2, obj, -683.983054196, running time, 1.72729301453, 
i, 5, maxT, 2, method, relaxed, obj, -545.546228318, running time, 0.117250204086, 
i, 5, maxT, 3, method, 1, obj, -640.091446539, running time, 2.64981293678, 
i, 5, maxT, 3, method, 2, obj, -652.713607451, running time, 1.73517489433, 
i, 5, maxT, 3, method, relaxed, obj, -545.546228318, running time, 0.16294002533, 
i, 5, maxT, 4, method, 1, obj, -635.874385384, running time, 3.76955604553, 
i, 5, maxT, 4, method, 2, obj, -653.048503403, running time, 1.69318580627, 
i, 5, maxT, 4, method, relaxed, obj, -545.546228318, running time, 0.119820833206, 
