i, 0, maxT, 1, method, 1, obj, -262.26422016, running time, 0.354249000549, 
i, 0, maxT, 1, method, 2, obj, -512.610089147, running time, 0.837867021561, 
i, 0, maxT, 1, method, relaxed, obj, -150.776792524, running time, 0.123821020126, 
i, 0, maxT, 2, method, 1, obj, -199.544242364, running time, 546.400156021, 
i, 0, maxT, 2, method, 2, obj, -238.115032263, running time, 53.874409914, 
i, 0, maxT, 2, method, relaxed, obj, -150.776792524, running time, 0.142456769943, 
i, 0, maxT, 3, method, 1, obj, -182.108496481, running time, 600.227528811, 
i, 0, maxT, 3, method, 2, obj, -195.795745036, running time, 600.690071821, 
i, 0, maxT, 3, method, relaxed, obj, -150.776792524, running time, 0.122706890106, 
i, 0, maxT, 4, method, 1, obj, -173.536538965, running time, 600.240355015, 
i, 0, maxT, 4, method, 2, obj, -185.393775144, running time, 600.818665028, 
i, 0, maxT, 4, method, relaxed, obj, -150.776792524, running time, 0.144659996033, 
i, 0, maxT, 5, method, 1, obj, -172.593580867, running time, 600.240112066, 
i, 0, maxT, 5, method, 2, obj, -175.922106371, running time, 600.930500984, 
i, 0, maxT, 5, method, relaxed, obj, -150.776792524, running time, 0.116390943527, 
i, 0, maxT, 6, method, 1, obj, -169.001590382, running time, 600.35234189, 
i, 0, maxT, 6, method, 2, obj, -173.501211617, running time, 600.814182997, 
i, 0, maxT, 6, method, relaxed, obj, -150.776792524, running time, 0.119920969009, 
i, 0, maxT, 7, method, 1, obj, -169.488995256, running time, 600.262722015, 
i, 0, maxT, 7, method, 2, obj, -167.821775426, running time, 306.790498972, 
i, 0, maxT, 7, method, relaxed, obj, -150.776792524, running time, 0.127892971039, 
i, 0, maxT, 8, method, 1, obj, -166.360165779, running time, 600.303806067, 
i, 0, maxT, 8, method, 2, obj, -166.963023964, running time, 73.0892291069, 
i, 0, maxT, 8, method, relaxed, obj, -150.776792524, running time, 0.127144098282, 
i, 0, maxT, 9, method, 1, obj, -166.354652353, running time, 600.501665831, 
i, 0, maxT, 9, method, 2, obj, -166.13800824, running time, 58.5514960289, 
i, 0, maxT, 9, method, relaxed, obj, -150.776792524, running time, 0.114059925079, 
i, 0, maxT, 10, method, 1, obj, -164.065355547, running time, 600.336844921, 
i, 0, maxT, 10, method, 2, obj, -166.206437501, running time, 29.7552280426, 
i, 0, maxT, 10, method, relaxed, obj, -150.776792524, running time, 0.12882399559, 
i, 1, maxT, 1, method, 1, obj, -538.590767657, running time, 0.317955970764, 
i, 1, maxT, 1, method, 2, obj, -557.027802594, running time, 0.686934947968, 
i, 1, maxT, 1, method, relaxed, obj, -335.487588889, running time, 0.0936529636383, 
i, 1, maxT, 2, method, 1, obj, -397.61550666, running time, 14.4654998779, 
i, 1, maxT, 2, method, 2, obj, -427.774046706, running time, 3.87459897995, 
i, 1, maxT, 2, method, relaxed, obj, -335.487588889, running time, 0.0924260616302, 
i, 1, maxT, 3, method, 1, obj, -369.265503057, running time, 27.1252810955, 
i, 1, maxT, 3, method, 2, obj, -402.707647871, running time, 7.8534181118, 
i, 1, maxT, 3, method, relaxed, obj, -335.487588889, running time, 0.0987110137939, 
i, 1, maxT, 4, method, 1, obj, -359.648740312, running time, 147.078313112, 
i, 1, maxT, 4, method, 2, obj, -377.5488337, running time, 3.20734190941, 
i, 1, maxT, 4, method, relaxed, obj, -335.487588889, running time, 0.118716955185, 
i, 1, maxT, 5, method, 1, obj, -354.932344093, running time, 174.616220236, 
i, 1, maxT, 5, method, 2, obj, -373.204295266, running time, 2.62042999268, 
i, 1, maxT, 5, method, relaxed, obj, -335.487588889, running time, 0.105117082596, 
i, 1, maxT, 6, method, 1, obj, -353.60084605, running time, 44.6219089031, 
i, 1, maxT, 6, method, 2, obj, -370.641419658, running time, 1.57542610168, 
i, 1, maxT, 6, method, relaxed, obj, -335.487588889, running time, 0.0971720218658, 
i, 1, maxT, 7, method, 1, obj, -353.538366551, running time, 17.8123888969, 
i, 1, maxT, 7, method, 2, obj, -371.467386265, running time, 1.52715301514, 
i, 1, maxT, 7, method, relaxed, obj, -335.487588889, running time, 0.109181880951, 
i, 1, maxT, 8, method, 1, obj, -353.591037518, running time, 21.1960549355, 
i, 1, maxT, 8, method, 2, obj, -369.899785445, running time, 1.5647521019, 
i, 1, maxT, 8, method, relaxed, obj, -335.487588889, running time, 0.103834152222, 
i, 1, maxT, 9, method, 1, obj, -353.341876892, running time, 16.1397490501, 
i, 1, maxT, 9, method, 2, obj, -369.833371712, running time, 1.5952630043, 
i, 1, maxT, 9, method, relaxed, obj, -335.487588889, running time, 0.103301048279, 
i, 1, maxT, 10, method, 1, obj, -353.41673641, running time, 30.4648680687, 
i, 1, maxT, 10, method, 2, obj, -372.324518815, running time, 1.47059893608, 
