i, 0, Q, 1, method, 1, obj, -1170.34172308, running time, 0.52832698822, 
i, 0, Q, 1, method, 2, obj, -1275.12975338, running time, 0.658082962036, 
i, 0, Q, 1, method, relaxed, obj, -389.579332379, running time, 0.121481895447, 
i, 0, Q, 2, method, 1, obj, -907.500496375, running time, 1.31022500992, 
i, 0, Q, 2, method, 2, obj, -940.085883375, running time, 1.11249184608, 
i, 0, Q, 2, method, relaxed, obj, -389.579332379, running time, 0.114674806595, 
i, 0, Q, 3, method, 1, obj, -903.482252949, running time, 4.0254149437, 
i, 0, Q, 3, method, 2, obj, -912.624709548, running time, 1.76334786415, 
i, 0, Q, 3, method, relaxed, obj, -389.579332379, running time, 0.102114915848, 
i, 0, Q, 4, method, 1, obj, -875.470983687, running time, 3.36764597893, 
i, 0, Q, 4, method, 2, obj, -911.27995834, running time, 3.08283805847, 
i, 0, Q, 4, method, relaxed, obj, -389.579332379, running time, 0.102725028992, 
i, 0, Q, 5, method, 1, obj, -895.189601327, running time, 6.46599388123, 
i, 0, Q, 5, method, 2, obj, -926.447126733, running time, 7.12908005714, 
i, 0, Q, 5, method, relaxed, obj, -389.579332379, running time, 0.110166072845, 
i, 0, Q, 6, method, 1, obj, -879.641389237, running time, 12.1727099419, 
i, 0, Q, 6, method, 2, obj, -916.697388679, running time, 8.41781687737, 
i, 0, Q, 6, method, relaxed, obj, -389.579332379, running time, 0.103316783905, 
i, 0, Q, 7, method, 1, obj, -870.603043653, running time, 12.9673171043, 
i, 0, Q, 7, method, 2, obj, -909.438366349, running time, 12.4284210205, 
i, 0, Q, 7, method, relaxed, obj, -389.579332379, running time, 0.111737966537, 
i, 0, Q, 8, method, 1, obj, -875.470983687, running time, 15.4104721546, 
i, 0, Q, 8, method, 2, obj, -909.840984956, running time, 33.1847000122, 
i, 0, Q, 8, method, relaxed, obj, -389.579332379, running time, 0.103710889816, 
i, 0, Q, 9, method, 1, obj, -866.315737238, running time, 29.9025809765, 
i, 0, Q, 9, method, 2, obj, -909.959632191, running time, 14.9162020683, 
i, 0, Q, 9, method, relaxed, obj, -389.579332379, running time, 0.102732896805, 
i, 0, Q, 10, method, 1, obj, -870.144149917, running time, 19.8601388931, 
i, 0, Q, 10, method, 2, obj, -909.503475897, running time, 38.9528360367, 
i, 0, Q, 10, method, relaxed, obj, -389.579332379, running time, 0.103947877884, 
i, 1, Q, 1, method, 1, obj, -1091.13434364, running time, 0.715427160263, 
i, 1, Q, 1, method, 2, obj, -1111.96685107, running time, 0.631125926971, 
i, 1, Q, 1, method, relaxed, obj, -890.045727284, running time, 0.091873884201, 
