i, 0, Q, 1, method, 1, obj, -1930.0, running time, 0.00915598869324, 
i, 0, Q, 1, method, 2, obj, -1930.0, running time, 0.0179569721222, 
i, 0, Q, 1, method, relaxed, obj, -1930.0, running time, 0.00367188453674, 
i, 0, Q, 2, method, 1, obj, -1930.0, running time, 0.0112121105194, 
i, 0, Q, 2, method, 2, obj, -1930.0, running time, 0.0262629985809, 
i, 0, Q, 2, method, relaxed, obj, -1930.0, running time, 0.00355982780457, 
i, 0, Q, 3, method, 1, obj, -1930.0, running time, 0.0148260593414, 
i, 0, Q, 3, method, 2, obj, -1930.0, running time, 0.0382349491119, 
i, 0, Q, 3, method, relaxed, obj, -1930.0, running time, 0.00327706336975, 
i, 0, Q, 4, method, 1, obj, -1930.0, running time, 0.0211360454559, 
i, 0, Q, 4, method, 2, obj, -1930.0, running time, 0.0462791919708, 
i, 0, Q, 4, method, relaxed, obj, -1930.0, running time, 0.0062141418457, 
i, 0, Q, 5, method, 1, obj, -1930.0, running time, 0.0189259052277, 
i, 0, Q, 5, method, 2, obj, -1930.0, running time, 0.0509598255157, 
i, 0, Q, 5, method, relaxed, obj, -1930.0, running time, 0.00383186340332, 
i, 0, Q, 6, method, 1, obj, -1930.0, running time, 0.0186588764191, 
i, 0, Q, 6, method, 2, obj, -1930.0, running time, 0.0591928958893, 
i, 0, Q, 6, method, relaxed, obj, -1930.0, running time, 0.00373697280884, 
i, 0, Q, 7, method, 1, obj, -1930.0, running time, 0.0263960361481, 
i, 0, Q, 7, method, 2, obj, -1930.0, running time, 0.0678040981293, 
i, 0, Q, 7, method, relaxed, obj, -1930.0, running time, 0.00566387176514, 
i, 0, Q, 8, method, 1, obj, -1930.0, running time, 0.0279378890991, 
i, 0, Q, 8, method, 2, obj, -1930.0, running time, 0.0755848884583, 
i, 0, Q, 8, method, relaxed, obj, -1930.0, running time, 0.00565695762634, 
i, 0, Q, 9, method, 1, obj, -1930.0, running time, 0.0298938751221, 
i, 0, Q, 9, method, 2, obj, -1930.0, running time, 0.0828030109406, 
