i, 0, Q, 1, method, 1, obj, -530.56964603, running time, 0.397117853165, 
i, 0, Q, 1, method, 2, obj, -537.18169164, running time, 0.6502430439, 
i, 0, Q, 1, method, relaxed, obj, -512.395245538, running time, 0.109615087509, 
i, 0, Q, 2, method, 1, obj, -525.279860662, running time, 2.95708012581, 
i, 0, Q, 2, method, 2, obj, -530.238009201, running time, 1.35318589211, 
i, 0, Q, 2, method, relaxed, obj, -512.395245538, running time, 0.100253820419, 
i, 0, Q, 3, method, 1, obj, -520.430499447, running time, 1.91350197792, 
i, 0, Q, 3, method, 2, obj, -521.95296856, running time, 2.40453886986, 
i, 0, Q, 3, method, relaxed, obj, -512.395245538, running time, 0.107102870941, 
i, 0, Q, 4, method, 1, obj, -519.355365893, running time, 3.35538482666, 
i, 0, Q, 4, method, 2, obj, -519.964606166, running time, 2.07148599625, 
i, 0, Q, 4, method, relaxed, obj, -512.395245538, running time, 0.106508016586, 
i, 0, Q, 5, method, 1, obj, -517.295521524, running time, 3.69855713844, 
i, 0, Q, 5, method, 2, obj, -519.778666991, running time, 2.29638314247, 
i, 0, Q, 5, method, relaxed, obj, -512.395245538, running time, 0.106602191925, 
i, 0, Q, 6, method, 1, obj, -515.393944508, running time, 5.61456298828, 
i, 0, Q, 6, method, 2, obj, -520.121257211, running time, 3.1996049881, 
i, 0, Q, 6, method, relaxed, obj, -512.395245538, running time, 0.108761072159, 
i, 0, Q, 7, method, 1, obj, -516.585237504, running time, 7.25077700615, 
i, 0, Q, 7, method, 2, obj, -521.336383162, running time, 3.66943192482, 
i, 0, Q, 7, method, relaxed, obj, -512.395245538, running time, 0.106912851334, 
i, 0, Q, 8, method, 1, obj, -527.469623178, running time, 7.82719397545, 
i, 0, Q, 1, method, 1, obj, -302.565626381, running time, 0.597284078598, 
i, 0, Q, 1, method, 2, obj, -333.982335327, running time, 0.714255094528, 
i, 0, Q, 1, method, relaxed, obj, -273.160619131, running time, 0.0782461166382, 
i, 0, Q, 2, method, 1, obj, -294.566854496, running time, 1.52979421616, 
i, 0, Q, 2, method, 2, obj, -314.256502766, running time, 1.65282917023, 
i, 0, Q, 2, method, relaxed, obj, -273.160619131, running time, 0.0733530521393, 
i, 0, Q, 3, method, 1, obj, -294.527892685, running time, 10.9071810246, 
i, 0, Q, 3, method, 2, obj, -306.347662854, running time, 3.17903494835, 
i, 0, Q, 3, method, relaxed, obj, -273.160619131, running time, 0.0715029239655, 
i, 0, Q, 4, method, 1, obj, -294.005496308, running time, 19.277974844, 
i, 0, Q, 4, method, 2, obj, -302.990267409, running time, 4.56547093391, 
i, 0, Q, 4, method, relaxed, obj, -273.160619131, running time, 0.0696828365326, 
i, 0, Q, 5, method, 1, obj, -293.145127872, running time, 17.966119051, 
i, 0, Q, 1, method, 1, obj, -303.321885622, running time, 1.11251711845, 
i, 0, Q, 1, method, 2, obj, -462.58815787, running time, 0.550669908524, 
i, 0, Q, 1, method, relaxed, obj, -181.4132757, running time, 0.123371839523, 
i, 0, Q, 2, method, 1, obj, -296.361734949, running time, 7.08506679535, 
i, 0, Q, 2, method, 2, obj, -463.531251759, running time, 1.27009701729, 
i, 0, Q, 2, method, relaxed, obj, -181.4132757, running time, 0.120077133179, 
i, 0, Q, 3, method, 1, obj, -295.78124084, running time, 24.7669730186, 
i, 0, Q, 3, method, 2, obj, -463.619968794, running time, 2.25670599937, 
i, 0, Q, 3, method, relaxed, obj, -181.4132757, running time, 0.108687877655, 
i, 0, Q, 4, method, 1, obj, -298.248678727, running time, 11.0684731007, 
i, 0, Q, 1, method, 1, obj, -359.252625282, running time, 1.45887112617, 
i, 0, Q, 1, method, 2, obj, -366.406832888, running time, 0.971824169159, 
i, 0, Q, 1, method, relaxed, obj, -338.453890734, running time, 0.133694171906, 
i, 0, Q, 2, method, 1, obj, -359.094481751, running time, 4.98738598824, 
i, 0, Q, 2, method, 2, obj, -363.395586223, running time, 2.49434399605, 
i, 0, Q, 2, method, relaxed, obj, -338.453890734, running time, 0.139863014221, 
i, 0, Q, 3, method, 1, obj, -358.954810659, running time, 8.39223480225, 
i, 0, Q, 3, method, 2, obj, -379.270211633, running time, 2.59962201118, 
i, 0, Q, 3, method, relaxed, obj, -338.453890734, running time, 0.134786128998, 
i, 0, Q, 4, method, 1, obj, -403.22894403, running time, 1.64487910271, 
i, 0, Q, 1, method, 1, obj, -402.020519087, running time, 1.32231712341, 
i, 0, Q, 1, method, 2, obj, -614.961597597, running time, 2.40638613701, 
i, 0, Q, 1, method, relaxed, obj, -305.688682749, running time, 0.167105197906, 
i, 0, Q, 2, method, 1, obj, -391.586527635, running time, 10.6514918804, 
i, 0, Q, 2, method, 2, obj, -507.526128852, running time, 6.44975185394, 
i, 0, Q, 2, method, relaxed, obj, -305.688682749, running time, 0.161368846893, 
i, 0, Q, 3, method, 1, obj, -388.708319162, running time, 70.7474939823, 
i, 0, Q, 3, method, 2, obj, -521.042289988, running time, 97.4843430519, 
i, 0, Q, 3, method, relaxed, obj, -305.688682749, running time, 0.167083978653, 
i, 0, Q, 4, method, 1, obj, -379.35627508, running time, 11.7553150654, 
i, 0, Q, 1, method, 1, obj, -297.754658107, running time, 0.613036870956, 
i, 0, Q, 1, method, 2, obj, -425.111621076, running time, 0.607321977615, 
i, 0, Q, 1, method, relaxed, obj, -189.19178239, running time, 0.0960319042206, 
i, 0, Q, 2, method, 1, obj, -293.635441543, running time, 6.16635799408, 
i, 0, Q, 2, method, 2, obj, -425.111621076, running time, 2.5526611805, 
i, 0, Q, 2, method, relaxed, obj, -189.19178239, running time, 0.101706027985, 
i, 0, Q, 3, method, 1, obj, -289.030621672, running time, 29.1000521183, 
i, 0, Q, 3, method, 2, obj, -1806.0, running time, 1.07771801949, 
i, 0, Q, 3, method, relaxed, obj, -189.19178239, running time, 0.0978188514709, 
i, 0, Q, 4, method, 1, obj, -366.875224217, running time, 1.55687594414, 
i, 0, Q, 1, method, 1, obj, -824.768787829, running time, 0.812752962112, 
i, 0, Q, 1, method, 2, obj, -1263.99299949, running time, 0.399701118469, 
i, 0, Q, 1, method, relaxed, obj, -659.822454096, running time, 0.0678360462189, 
i, 0, Q, 2, method, 1, obj, -827.770403867, running time, 4.78910279274, 
i, 0, Q, 2, method, 2, obj, -1263.62563357, running time, 0.68133687973, 
i, 0, Q, 2, method, relaxed, obj, -659.822454096, running time, 0.0592370033264, 
i, 0, Q, 3, method, 1, obj, -827.915645294, running time, 2.76451897621, 
i, 0, Q, 3, method, 2, obj, -1320.48519198, running time, 0.960391998291, 
i, 0, Q, 3, method, relaxed, obj, -659.822454096, running time, 0.0574290752411, 
i, 0, Q, 1, method, 1, obj, -720.489828298, running time, 0.465358018875, 
i, 0, Q, 1, method, 2, obj, -727.244232391, running time, 0.514730215073, 
i, 0, Q, 1, method, relaxed, obj, -368.645981288, running time, 0.0808532238007, 
i, 0, Q, 2, method, 1, obj, -716.953710761, running time, 1.29651594162, 
i, 0, Q, 2, method, 2, obj, -719.504378583, running time, 0.982889175415, 
i, 0, Q, 2, method, relaxed, obj, -368.645981288, running time, 0.0918660163879, 
i, 0, Q, 3, method, 1, obj, -715.906286694, running time, 2.79713201523, 
i, 0, Q, 3, method, 2, obj, -715.626394289, running time, 1.57659006119, 
i, 0, Q, 3, method, relaxed, obj, -368.645981288, running time, 0.0785419940948, 
i, 0, Q, 4, method, 1, obj, -663.633400539, running time, 3.19631814957, 
i, 0, Q, 4, method, 2, obj, -666.659069858, running time, 2.02219510078, 
i, 0, Q, 4, method, relaxed, obj, -368.645981288, running time, 0.0887920856476, 
i, 0, Q, 5, method, 1, obj, -636.579106513, running time, 4.29852414131, 
i, 0, Q, 5, method, 2, obj, -639.884272513, running time, 2.34332895279, 
i, 0, Q, 5, method, relaxed, obj, -368.645981288, running time, 0.0884890556335, 
i, 0, Q, 6, method, 1, obj, -631.166416274, running time, 10.6309871674, 
i, 0, Q, 6, method, 2, obj, -635.029103199, running time, 2.85212612152, 
i, 0, Q, 6, method, relaxed, obj, -368.645981288, running time, 0.081258058548, 
i, 0, Q, 7, method, 1, obj, -642.62185744, running time, 7.63309001923, 
i, 0, Q, 7, method, 2, obj, -640.925044629, running time, 4.77683401108, 
i, 0, Q, 7, method, relaxed, obj, -368.645981288, running time, 0.089702129364, 
i, 0, Q, 8, method, 1, obj, -651.476741699, running time, 15.6165981293, 
i, 0, Q, 8, method, 2, obj, -644.252448233, running time, 5.31918001175, 
i, 0, Q, 8, method, relaxed, obj, -368.645981288, running time, 0.0877571105957, 
i, 0, Q, 9, method, 1, obj, -647.961278102, running time, 13.3800809383, 
i, 0, Q, 9, method, 2, obj, -649.05554805, running time, 7.13320398331, 
i, 0, Q, 9, method, relaxed, obj, -368.645981288, running time, 0.0838758945465, 
i, 0, Q, 10, method, 1, obj, -635.460868823, running time, 24.0889048576, 
i, 0, Q, 10, method, 2, obj, -640.293255794, running time, 6.86163187027, 
i, 0, Q, 10, method, relaxed, obj, -368.645981288, running time, 0.0876729488373, 
