i, 5, Q, 1, method, 1, obj, -253.955026518, running time, 0.282063007355, 
i, 5, Q, 1, method, 2, obj, -254.025015528, running time, 0.735458135605, 
i, 5, Q, 1, method, relaxed, obj, -251.861808914, running time, 0.108769178391, 
i, 5, Q, 2, method, 1, obj, -251.867102787, running time, 0.378340005875, 
i, 5, Q, 2, method, 2, obj, -251.864466926, running time, 1.44880604744, 
i, 5, Q, 2, method, relaxed, obj, -251.861808914, running time, 0.103604078293, 
i, 5, Q, 3, method, 1, obj, -253.14653362, running time, 0.69254899025, 
i, 5, Q, 3, method, 2, obj, -254.818596882, running time, 2.52107596397, 
i, 5, Q, 3, method, relaxed, obj, -251.861808914, running time, 0.0963389873505, 
i, 5, Q, 4, method, 1, obj, -254.025015528, running time, 0.971890926361, 
i, 5, Q, 4, method, 2, obj, -253.647321741, running time, 3.68693184853, 
i, 5, Q, 4, method, relaxed, obj, -251.861808914, running time, 0.103616952896, 
i, 5, Q, 5, method, 1, obj, -251.900314537, running time, 1.17021679878, 
i, 5, Q, 5, method, 2, obj, -254.313901951, running time, 3.65649104118, 
i, 5, Q, 5, method, relaxed, obj, -251.861808914, running time, 0.101098060608, 
i, 5, Q, 6, method, 1, obj, -253.208518877, running time, 1.29128885269, 
i, 5, Q, 6, method, 2, obj, -253.667934341, running time, 6.32206988335, 
i, 5, Q, 6, method, relaxed, obj, -251.861808914, running time, 0.104314088821, 
i, 5, Q, 7, method, 1, obj, -251.889842108, running time, 1.21147012711, 
i, 5, Q, 7, method, 2, obj, -254.420326988, running time, 5.55516600609, 
i, 5, Q, 7, method, relaxed, obj, -251.861808914, running time, 0.105028152466, 
i, 5, Q, 8, method, 1, obj, -251.867102787, running time, 1.4081261158, 
i, 5, Q, 8, method, 2, obj, -252.781873945, running time, 7.25524306297, 
i, 5, Q, 8, method, relaxed, obj, -251.861808914, running time, 0.101408004761, 
i, 5, Q, 9, method, 1, obj, -253.196817979, running time, 1.85999107361, 
i, 5, Q, 9, method, 2, obj, -253.083927924, running time, 8.01525616646, 
i, 5, Q, 9, method, relaxed, obj, -251.861808914, running time, 0.104397058487, 
i, 5, Q, 10, method, 1, obj, -254.392145752, running time, 1.77650904655, 
i, 5, Q, 10, method, 2, obj, -253.363668138, running time, 9.27454280853, 
i, 5, Q, 10, method, relaxed, obj, -251.861808914, running time, 0.0979039669037, 
i, 6, Q, 1, method, 1, obj, -300.885972617, running time, 33.4887139797, 
i, 6, Q, 1, method, 2, obj, -385.2392996, running time, 1.16086697578, 
i, 6, Q, 1, method, relaxed, obj, -254.522911329, running time, 0.183189868927, 
i, 6, Q, 2, method, 1, obj, -292.801768431, running time, 259.494719028, 
i, 6, Q, 2, method, 2, obj, -381.298239768, running time, 4.23309707642, 
i, 6, Q, 2, method, relaxed, obj, -254.522911329, running time, 0.18288397789, 
i, 6, Q, 3, method, 1, obj, -294.52044265, running time, 600.360649109, 
i, 6, Q, 3, method, 2, obj, -381.10484627, running time, 64.6515238285, 
i, 6, Q, 3, method, relaxed, obj, -254.522911329, running time, 0.192698001862, 
i, 6, Q, 4, method, 1, obj, -294.398062714, running time, 600.395382166, 
i, 6, Q, 4, method, 2, obj, -380.934151506, running time, 66.9047989845, 
i, 6, Q, 4, method, relaxed, obj, -254.522911329, running time, 0.18107509613, 
i, 6, Q, 5, method, 1, obj, -293.972324193, running time, 600.52011013, 
i, 6, Q, 5, method, 2, obj, -376.841444989, running time, 56.5755271912, 
i, 6, Q, 5, method, relaxed, obj, -254.522911329, running time, 0.186820030212, 
i, 6, Q, 6, method, 1, obj, -298.554370311, running time, 600.658076048, 
i, 6, Q, 6, method, 2, obj, -377.361851294, running time, 87.6271009445, 
i, 6, Q, 6, method, relaxed, obj, -254.522911329, running time, 0.188293933868, 
i, 6, Q, 7, method, 1, obj, -294.380551466, running time, 600.680325985, 
i, 6, Q, 7, method, 2, obj, -377.531872608, running time, 39.5438940525, 
i, 6, Q, 7, method, relaxed, obj, -254.522911329, running time, 0.184536933899, 
i, 6, Q, 8, method, 1, obj, -291.877309847, running time, 600.685868979, 
i, 6, Q, 8, method, 2, obj, -377.126976387, running time, 44.0233769417, 
i, 6, Q, 8, method, relaxed, obj, -254.522911329, running time, 0.194164037704, 
i, 6, Q, 9, method, 1, obj, -295.090117496, running time, 600.671744108, 
i, 6, Q, 9, method, 2, obj, -375.629647718, running time, 100.249979019, 
i, 6, Q, 9, method, relaxed, obj, -254.522911329, running time, 0.188231945038, 
i, 6, Q, 10, method, 1, obj, -296.310399421, running time, 600.7280581, 
i, 6, Q, 10, method, 2, obj, -375.115838286, running time, 172.964950085, 
i, 6, Q, 10, method, relaxed, obj, -254.522911329, running time, 0.189400911331, 
i, 7, Q, 1, method, 1, obj, -274.617938292, running time, 4.19064497948, 
i, 7, Q, 1, method, 2, obj, -278.476398047, running time, 1.54021787643, 
i, 7, Q, 1, method, relaxed, obj, -263.527997497, running time, 0.182908058167, 
i, 7, Q, 2, method, 1, obj, -268.371033305, running time, 8.44928717613, 
i, 7, Q, 2, method, 2, obj, -272.735894747, running time, 4.86314797401, 
i, 7, Q, 2, method, relaxed, obj, -263.527997497, running time, 0.185573101044, 
i, 7, Q, 3, method, 1, obj, -268.663766774, running time, 35.2349429131, 
i, 7, Q, 3, method, 2, obj, -272.877664476, running time, 51.4871070385, 
i, 7, Q, 3, method, relaxed, obj, -263.527997497, running time, 0.199958086014, 
i, 7, Q, 4, method, 1, obj, -268.252077011, running time, 83.1121759415, 
i, 7, Q, 4, method, 2, obj, -272.686378206, running time, 122.521898031, 
i, 7, Q, 4, method, relaxed, obj, -263.527997497, running time, 0.184423923492, 
i, 7, Q, 5, method, 1, obj, -267.29559469, running time, 207.068543196, 
i, 7, Q, 5, method, 2, obj, -273.32395357, running time, 215.418794155, 
i, 7, Q, 5, method, relaxed, obj, -263.527997497, running time, 0.18093419075, 
i, 7, Q, 6, method, 1, obj, -267.684370589, running time, 219.064611912, 
i, 7, Q, 6, method, 2, obj, -271.525817504, running time, 459.471570015, 
i, 7, Q, 6, method, relaxed, obj, -263.527997497, running time, 0.173881053925, 
i, 7, Q, 7, method, 1, obj, -267.97059533, running time, 600.576077938, 
i, 7, Q, 7, method, 2, obj, -271.809036359, running time, 570.473273039, 
i, 7, Q, 7, method, relaxed, obj, -263.527997497, running time, 0.184263944626, 
i, 7, Q, 8, method, 1, obj, -269.091990997, running time, 600.85646987, 
i, 7, Q, 8, method, 2, obj, -271.621642633, running time, 603.51601696, 
i, 7, Q, 8, method, relaxed, obj, -263.527997497, running time, 0.177944898605, 
i, 7, Q, 9, method, 1, obj, -269.80088415, running time, 600.681885958, 
i, 7, Q, 9, method, 2, obj, -271.972043031, running time, 603.847764969, 
i, 7, Q, 9, method, relaxed, obj, -263.527997497, running time, 0.199361801147, 
i, 7, Q, 10, method, 1, obj, -267.321701687, running time, 600.751272202, 
i, 7, Q, 10, method, 2, obj, -272.47787267, running time, 604.192287922, 
i, 7, Q, 10, method, relaxed, obj, -263.527997497, running time, 0.175204992294, 
i, 8, Q, 1, method, 1, obj, -222.514128741, running time, 1.33417797089, 
i, 8, Q, 1, method, 2, obj, -224.560414743, running time, 1.30809092522, 
i, 8, Q, 1, method, relaxed, obj, -187.307022382, running time, 0.202440977097, 
i, 8, Q, 2, method, 1, obj, -217.337907384, running time, 11.8502919674, 
i, 8, Q, 2, method, 2, obj, -223.257459658, running time, 9.82987618446, 
i, 8, Q, 2, method, relaxed, obj, -187.307022382, running time, 0.198070049286, 
i, 8, Q, 3, method, 1, obj, -216.904099358, running time, 97.8796629906, 
i, 8, Q, 3, method, 2, obj, -221.454824701, running time, 55.5780630112, 
i, 8, Q, 3, method, relaxed, obj, -187.307022382, running time, 0.184994935989, 
i, 8, Q, 4, method, 1, obj, -216.048983743, running time, 168.809514046, 
i, 8, Q, 4, method, 2, obj, -221.42860819, running time, 123.211863041, 
i, 8, Q, 4, method, relaxed, obj, -187.307022382, running time, 0.204277038574, 
i, 8, Q, 5, method, 1, obj, -216.056229362, running time, 389.485289097, 
i, 8, Q, 5, method, 2, obj, -221.758903298, running time, 117.626110077, 
i, 8, Q, 5, method, relaxed, obj, -187.307022382, running time, 0.195628881454, 
i, 8, Q, 6, method, 1, obj, -216.263746228, running time, 600.538003922, 
i, 8, Q, 6, method, 2, obj, -222.12507349, running time, 213.550928116, 
i, 8, Q, 6, method, relaxed, obj, -187.307022382, running time, 0.198110103607, 
i, 8, Q, 7, method, 1, obj, -216.336921434, running time, 600.618966103, 
i, 8, Q, 7, method, 2, obj, -221.946234568, running time, 245.505200148, 
i, 8, Q, 7, method, relaxed, obj, -187.307022382, running time, 0.198827028275, 
i, 8, Q, 8, method, 1, obj, -217.160418943, running time, 600.610910177, 
i, 8, Q, 8, method, 2, obj, -221.993369292, running time, 323.075722933, 
i, 8, Q, 8, method, relaxed, obj, -187.307022382, running time, 0.201164007187, 
i, 8, Q, 9, method, 1, obj, -216.484063734, running time, 600.672968864, 
i, 8, Q, 9, method, 2, obj, -222.367446851, running time, 444.852804899, 
i, 8, Q, 9, method, relaxed, obj, -187.307022382, running time, 0.210623025894, 
i, 8, Q, 10, method, 1, obj, -217.197438786, running time, 600.727340937, 
i, 8, Q, 10, method, 2, obj, -221.046933568, running time, 394.641278982, 
i, 8, Q, 10, method, relaxed, obj, -187.307022382, running time, 0.198768854141, 
i, 9, Q, 1, method, 1, obj, -349.621591432, running time, 1.11061787605, 
i, 9, Q, 1, method, 2, obj, -350.039657167, running time, 1.31984996796, 
i, 9, Q, 1, method, relaxed, obj, -316.771823949, running time, 0.16264796257, 
i, 9, Q, 2, method, 1, obj, -344.534336069, running time, 8.61505007744, 
i, 9, Q, 2, method, 2, obj, -345.753892262, running time, 2.90448212624, 
i, 9, Q, 2, method, relaxed, obj, -316.771823949, running time, 0.189355134964, 
i, 9, Q, 3, method, 1, obj, -343.953411579, running time, 42.8011369705, 
i, 9, Q, 3, method, 2, obj, -341.652224269, running time, 9.97657084465, 
i, 9, Q, 3, method, relaxed, obj, -316.771823949, running time, 0.1556828022, 
i, 9, Q, 4, method, 1, obj, -342.538295858, running time, 73.066699028, 
i, 9, Q, 4, method, 2, obj, -342.733002493, running time, 29.3256349564, 
i, 9, Q, 4, method, relaxed, obj, -316.771823949, running time, 0.157029151917, 
i, 9, Q, 5, method, 1, obj, -340.985081987, running time, 112.521962881, 
i, 9, Q, 5, method, 2, obj, -340.085417717, running time, 78.3013060093, 
i, 9, Q, 5, method, relaxed, obj, -316.771823949, running time, 0.154507160187, 
i, 9, Q, 6, method, 1, obj, -340.247665024, running time, 97.1608409882, 
i, 9, Q, 6, method, 2, obj, -339.284803336, running time, 75.9638609886, 
i, 9, Q, 6, method, relaxed, obj, -316.771823949, running time, 0.155921936035, 
i, 9, Q, 7, method, 1, obj, -339.756671707, running time, 149.636265039, 
i, 9, Q, 7, method, 2, obj, -338.101566332, running time, 124.453503132, 
i, 9, Q, 7, method, relaxed, obj, -316.771823949, running time, 0.158939123154, 
