i, 0, Q, 1, method, 1, obj, -210.503689024, running time, 0.574460029602, 
i, 0, Q, 1, method, 2, obj, -210.95470574, running time, 0.728724956512, 
i, 0, Q, 1, method, relaxed, obj, -208.249163132, running time, 0.118096828461, 
i, 0, Q, 2, method, 1, obj, -209.140898192, running time, 1.19237709045, 
i, 0, Q, 2, method, 2, obj, -209.693256098, running time, 1.24897408485, 
i, 0, Q, 2, method, relaxed, obj, -208.249163132, running time, 0.115746974945, 
i, 0, Q, 3, method, 1, obj, -209.797837574, running time, 1.12205410004, 
i, 0, Q, 3, method, 2, obj, -209.743914431, running time, 1.48396801949, 
i, 0, Q, 3, method, relaxed, obj, -208.249163132, running time, 0.111215829849, 
i, 0, Q, 4, method, 1, obj, -208.908581887, running time, 2.62212896347, 
i, 0, Q, 4, method, 2, obj, -209.203919126, running time, 3.01056599617, 
i, 0, Q, 4, method, relaxed, obj, -208.249163132, running time, 0.1018409729, 
i, 0, Q, 5, method, 1, obj, -208.736442078, running time, 2.11375808716, 
i, 0, Q, 5, method, 2, obj, -210.563603133, running time, 4.24143886566, 
i, 0, Q, 5, method, relaxed, obj, -208.249163132, running time, 0.102911949158, 
i, 0, Q, 6, method, 1, obj, -209.242147987, running time, 2.47425699234, 
i, 0, Q, 6, method, 2, obj, -209.37395326, running time, 5.07082605362, 
i, 0, Q, 6, method, relaxed, obj, -208.249163132, running time, 0.10467505455, 
i, 0, Q, 7, method, 1, obj, -209.963364798, running time, 4.14156985283, 
i, 0, Q, 7, method, 2, obj, -210.195653537, running time, 6.34342288971, 
i, 0, Q, 7, method, relaxed, obj, -208.249163132, running time, 0.105614900589, 
i, 0, Q, 8, method, 1, obj, -208.646706876, running time, 4.23397088051, 
i, 0, Q, 8, method, 2, obj, -209.743482815, running time, 7.92938995361, 
i, 0, Q, 8, method, relaxed, obj, -208.249163132, running time, 0.140774965286, 
i, 0, Q, 9, method, 1, obj, -209.027537226, running time, 4.76800608635, 
i, 0, Q, 9, method, 2, obj, -210.344963628, running time, 10.6380441189, 
i, 0, Q, 9, method, relaxed, obj, -208.249163132, running time, 0.0988280773163, 
i, 0, Q, 10, method, 1, obj, -208.982494753, running time, 5.90201210976, 
i, 0, Q, 10, method, 2, obj, -210.430325132, running time, 10.2278020382, 
i, 0, Q, 10, method, relaxed, obj, -208.249163132, running time, 0.109430074692, 
i, 1, Q, 1, method, 1, obj, -383.874784173, running time, 1.04205679893, 
i, 1, Q, 1, method, 2, obj, -386.334312529, running time, 0.844760894775, 
i, 1, Q, 1, method, relaxed, obj, -353.964950117, running time, 0.119826078415, 
i, 1, Q, 2, method, 1, obj, -377.917319158, running time, 32.602848053, 
i, 1, Q, 2, method, 2, obj, -383.22174131, running time, 3.89661598206, 
i, 1, Q, 2, method, relaxed, obj, -353.964950117, running time, 0.136420965195, 
i, 1, Q, 3, method, 1, obj, -374.72391589, running time, 217.239407063, 
i, 1, Q, 3, method, 2, obj, -379.001860485, running time, 13.7474000454, 
i, 1, Q, 3, method, relaxed, obj, -353.964950117, running time, 0.130362987518, 
i, 1, Q, 4, method, 1, obj, -372.98200644, running time, 575.619304895, 
i, 1, Q, 4, method, 2, obj, -378.879112526, running time, 21.9264240265, 
i, 1, Q, 4, method, relaxed, obj, -353.964950117, running time, 0.125433206558, 
i, 1, Q, 5, method, 1, obj, -372.554090232, running time, 600.391454935, 
i, 1, Q, 5, method, 2, obj, -380.682880966, running time, 95.7447879314, 
i, 1, Q, 5, method, relaxed, obj, -353.964950117, running time, 0.149978876114, 
i, 1, Q, 6, method, 1, obj, -371.878141907, running time, 600.516700029, 
i, 1, Q, 6, method, 2, obj, -378.424776696, running time, 260.600249052, 
i, 1, Q, 6, method, relaxed, obj, -353.964950117, running time, 0.143495082855, 
i, 1, Q, 7, method, 1, obj, -372.214467118, running time, 600.493947983, 
i, 1, Q, 7, method, 2, obj, -380.866059405, running time, 273.443542957, 
i, 1, Q, 7, method, relaxed, obj, -353.964950117, running time, 0.133916854858, 
i, 1, Q, 8, method, 1, obj, -371.642653322, running time, 600.47258687, 
i, 1, Q, 8, method, 2, obj, -379.118587528, running time, 602.102135897, 
i, 1, Q, 8, method, relaxed, obj, -353.964950117, running time, 0.138505935669, 
i, 1, Q, 9, method, 1, obj, -372.395899346, running time, 600.500319958, 
i, 1, Q, 9, method, 2, obj, -378.247308743, running time, 602.485202074, 
i, 1, Q, 9, method, relaxed, obj, -353.964950117, running time, 0.131047964096, 
i, 1, Q, 10, method, 1, obj, -371.87333276, running time, 600.523568153, 
i, 1, Q, 10, method, 2, obj, -378.135517471, running time, 602.733213902, 
i, 1, Q, 10, method, relaxed, obj, -353.964950117, running time, 0.125813007355, 
