i, 0, Q, 1, method, 1, obj, -719.397038704, running time, 0.675294160843, 
i, 0, Q, 1, method, 2, obj, -716.162379379, running time, 0.727690935135, 
i, 0, Q, 1, method, relaxed, obj, -696.238881296, running time, 0.133037805557, 
i, 0, Q, 2, method, 1, obj, -710.129280119, running time, 6.48249411583, 
i, 0, Q, 2, method, 2, obj, -715.168208632, running time, 3.03920698166, 
i, 0, Q, 2, method, relaxed, obj, -696.238881296, running time, 0.369063138962, 
i, 0, Q, 3, method, 1, obj, -707.818397255, running time, 16.5531527996, 
i, 0, Q, 3, method, 2, obj, -712.850658135, running time, 6.55743288994, 
i, 0, Q, 3, method, relaxed, obj, -696.238881296, running time, 0.182554006577, 
i, 0, Q, 4, method, 1, obj, -707.428131427, running time, 21.8728580475, 
i, 0, Q, 4, method, 2, obj, -715.193087258, running time, 10.3295719624, 
i, 0, Q, 4, method, relaxed, obj, -696.238881296, running time, 0.355510950089, 
i, 0, Q, 5, method, 1, obj, -707.094195321, running time, 36.0928008556, 
i, 0, Q, 5, method, 2, obj, -714.927126074, running time, 14.0492858887, 
i, 0, Q, 5, method, relaxed, obj, -696.238881296, running time, 0.131712913513, 
i, 0, Q, 6, method, 1, obj, -706.519736824, running time, 107.307396889, 
i, 0, Q, 6, method, 2, obj, -711.058506236, running time, 22.5635681152, 
i, 0, Q, 6, method, relaxed, obj, -696.238881296, running time, 0.134371042252, 
i, 0, Q, 7, method, 1, obj, -706.580754996, running time, 72.5015251637, 
i, 0, Q, 7, method, 2, obj, -715.190159507, running time, 24.9528160095, 
i, 0, Q, 7, method, relaxed, obj, -696.238881296, running time, 0.130212068558, 
i, 0, Q, 8, method, 1, obj, -706.536878757, running time, 80.3826310635, 
i, 0, Q, 8, method, 2, obj, -713.440342129, running time, 28.6179018021, 
i, 0, Q, 8, method, relaxed, obj, -696.238881296, running time, 0.132178783417, 
i, 0, Q, 9, method, 1, obj, -705.85975159, running time, 73.7056019306, 
i, 0, Q, 9, method, 2, obj, -712.768720929, running time, 44.4761650562, 
i, 0, Q, 9, method, relaxed, obj, -696.238881296, running time, 0.131153106689, 
i, 0, Q, 10, method, 1, obj, -706.138250866, running time, 135.82665801, 
i, 0, Q, 10, method, 2, obj, -710.650283422, running time, 58.2000391483, 
i, 0, Q, 10, method, relaxed, obj, -696.238881296, running time, 0.131936073303, 
i, 1, Q, 1, method, 1, obj, -628.229739053, running time, 0.48522901535, 
i, 1, Q, 1, method, 2, obj, -634.5364964, running time, 0.755264997482, 
i, 1, Q, 1, method, relaxed, obj, -614.642433173, running time, 0.10722899437, 
i, 1, Q, 2, method, 1, obj, -622.030893818, running time, 1.31736183167, 
i, 1, Q, 2, method, 2, obj, -628.568766445, running time, 1.82947897911, 
i, 1, Q, 2, method, relaxed, obj, -614.642433173, running time, 0.107686042786, 
i, 1, Q, 3, method, 1, obj, -620.932112315, running time, 1.61037898064, 
i, 1, Q, 3, method, 2, obj, -629.374959942, running time, 4.34965801239, 
i, 1, Q, 3, method, relaxed, obj, -614.642433173, running time, 0.108013153076, 
i, 1, Q, 4, method, 1, obj, -620.666610775, running time, 3.03371191025, 
i, 1, Q, 4, method, 2, obj, -625.991493215, running time, 5.47835302353, 
i, 1, Q, 4, method, relaxed, obj, -614.642433173, running time, 0.105479001999, 
i, 1, Q, 5, method, 1, obj, -621.358122618, running time, 2.40849113464, 
i, 1, Q, 5, method, 2, obj, -626.207523743, running time, 18.4119470119, 
i, 1, Q, 5, method, relaxed, obj, -614.642433173, running time, 0.117946147919, 
i, 1, Q, 6, method, 1, obj, -620.496050355, running time, 3.4875190258, 
i, 1, Q, 6, method, 2, obj, -628.128503633, running time, 14.5510489941, 
i, 1, Q, 6, method, relaxed, obj, -614.642433173, running time, 0.10534787178, 
i, 1, Q, 7, method, 1, obj, -620.556735128, running time, 4.69743800163, 
i, 1, Q, 7, method, 2, obj, -624.200170199, running time, 23.0519900322, 
i, 1, Q, 7, method, relaxed, obj, -614.642433173, running time, 0.108375072479, 
i, 1, Q, 8, method, 1, obj, -621.367318819, running time, 6.05069804192, 
i, 1, Q, 8, method, 2, obj, -628.324597708, running time, 30.0158190727, 
i, 1, Q, 8, method, relaxed, obj, -614.642433173, running time, 0.111302137375, 
i, 1, Q, 9, method, 1, obj, -620.453708832, running time, 7.28234791756, 
i, 1, Q, 9, method, 2, obj, -628.395629218, running time, 40.043145895, 
i, 1, Q, 9, method, relaxed, obj, -614.642433173, running time, 0.107056856155, 
i, 1, Q, 10, method, 1, obj, -619.502896778, running time, 6.91824913025, 
i, 1, Q, 10, method, 2, obj, -627.447356469, running time, 50.6353690624, 
i, 1, Q, 10, method, relaxed, obj, -614.642433173, running time, 0.114526033401, 
i, 2, Q, 1, method, 1, obj, -359.453166347, running time, 2.19082283974, 
i, 2, Q, 1, method, 2, obj, -370.50484637, running time, 1.32208991051, 
i, 2, Q, 1, method, relaxed, obj, -341.407099357, running time, 0.105344057083, 
i, 2, Q, 2, method, 1, obj, -357.047141245, running time, 12.7063028812, 
i, 2, Q, 2, method, 2, obj, -365.854651635, running time, 7.60766100883, 
i, 2, Q, 2, method, relaxed, obj, -341.407099357, running time, 0.118858098984, 
i, 2, Q, 3, method, 1, obj, -356.694527569, running time, 17.5875139236, 
i, 2, Q, 3, method, 2, obj, -364.907461877, running time, 22.6843509674, 
i, 2, Q, 3, method, relaxed, obj, -341.407099357, running time, 0.110602140427, 
i, 2, Q, 4, method, 1, obj, -356.257972175, running time, 33.812595129, 
i, 2, Q, 4, method, 2, obj, -364.354554956, running time, 41.2610650063, 
i, 2, Q, 4, method, relaxed, obj, -341.407099357, running time, 0.101315975189, 
i, 2, Q, 5, method, 1, obj, -355.616079909, running time, 48.1656069756, 
i, 2, Q, 5, method, 2, obj, -363.557481249, running time, 1001.98872089, 
i, 2, Q, 5, method, relaxed, obj, -341.407099357, running time, 0.111639976501, 
i, 2, Q, 6, method, 1, obj, -355.887714798, running time, 94.4068851471, 
i, 2, Q, 6, method, 2, obj, -363.173925464, running time, 952.30233407, 
i, 2, Q, 6, method, relaxed, obj, -341.407099357, running time, 0.113682985306, 
i, 2, Q, 7, method, 1, obj, -355.368966939, running time, 96.0472500324, 
i, 2, Q, 7, method, 2, obj, -363.096165627, running time, 1003.0798049, 
i, 2, Q, 7, method, relaxed, obj, -341.407099357, running time, 0.0991630554199, 
i, 2, Q, 8, method, 1, obj, -354.84969812, running time, 91.9694111347, 
i, 2, Q, 8, method, 2, obj, -364.748590527, running time, 1002.69025111, 
i, 2, Q, 8, method, relaxed, obj, -341.407099357, running time, 0.114489078522, 
i, 2, Q, 9, method, 1, obj, -355.131493792, running time, 93.0416381359, 
i, 2, Q, 9, method, 2, obj, -363.60527438, running time, 1004.70276904, 
i, 2, Q, 9, method, relaxed, obj, -341.407099357, running time, 0.113103866577, 
i, 2, Q, 10, method, 1, obj, -354.68659839, running time, 148.607071161, 
i, 2, Q, 10, method, 2, obj, -363.944708183, running time, 1003.06581593, 
i, 2, Q, 10, method, relaxed, obj, -341.407099357, running time, 0.116540908813, 
i, 3, Q, 1, method, 1, obj, -685.468873582, running time, 1.21092414856, 
i, 3, Q, 1, method, 2, obj, -708.29089245, running time, 0.973275184631, 
i, 3, Q, 1, method, relaxed, obj, -670.579295628, running time, 0.139731168747, 
i, 3, Q, 2, method, 1, obj, -679.483445532, running time, 1.96206092834, 
i, 3, Q, 2, method, 2, obj, -687.45511456, running time, 6.18824696541, 
i, 3, Q, 2, method, relaxed, obj, -670.579295628, running time, 0.14475607872, 
i, 3, Q, 3, method, 1, obj, -679.332675737, running time, 8.1805870533, 
i, 3, Q, 3, method, 2, obj, -682.715009727, running time, 9.58271193504, 
i, 3, Q, 3, method, relaxed, obj, -670.579295628, running time, 0.144001960754, 
i, 3, Q, 4, method, 1, obj, -677.956897876, running time, 1.45046401024, 
i, 3, Q, 4, method, 2, obj, -682.725214911, running time, 12.948143959, 
i, 3, Q, 4, method, relaxed, obj, -670.579295628, running time, 0.138463020325, 
i, 3, Q, 5, method, 1, obj, -678.431238297, running time, 3.52862000465, 
i, 3, Q, 5, method, 2, obj, -686.456902442, running time, 22.9794230461, 
i, 3, Q, 5, method, relaxed, obj, -670.579295628, running time, 0.139819860458, 
i, 3, Q, 6, method, 1, obj, -678.084141434, running time, 4.74824213982, 
i, 3, Q, 6, method, 2, obj, -681.473606828, running time, 27.7907269001, 
i, 3, Q, 6, method, relaxed, obj, -670.579295628, running time, 0.143400907516, 
i, 3, Q, 7, method, 1, obj, -678.023291852, running time, 3.23045992851, 
i, 3, Q, 7, method, 2, obj, -679.089859365, running time, 22.0807199478, 
i, 3, Q, 7, method, relaxed, obj, -670.579295628, running time, 0.139528989792, 
i, 3, Q, 8, method, 1, obj, -677.837706176, running time, 3.44121408463, 
i, 3, Q, 8, method, 2, obj, -679.160059986, running time, 32.7193748951, 
i, 3, Q, 8, method, relaxed, obj, -670.579295628, running time, 0.13911986351, 
i, 3, Q, 9, method, 1, obj, -677.506361484, running time, 5.70885109901, 
i, 3, Q, 9, method, 2, obj, -679.844715783, running time, 23.9688811302, 
i, 3, Q, 9, method, relaxed, obj, -670.579295628, running time, 0.139625072479, 
i, 3, Q, 10, method, 1, obj, -677.206751401, running time, 8.2454020977, 
i, 3, Q, 10, method, 2, obj, -680.133241079, running time, 66.2717950344, 
i, 3, Q, 10, method, relaxed, obj, -670.579295628, running time, 0.143811941147, 
i, 4, Q, 1, method, 1, obj, -636.633303138, running time, 0.203217983246, 
i, 4, Q, 1, method, 2, obj, -639.52301403, running time, 0.447031974792, 
i, 4, Q, 1, method, relaxed, obj, -632.335246502, running time, 0.0844688415527, 
i, 4, Q, 2, method, 1, obj, -632.515992339, running time, 0.305897951126, 
i, 4, Q, 2, method, 2, obj, -632.559943849, running time, 0.750792980194, 
i, 4, Q, 2, method, relaxed, obj, -632.335246502, running time, 0.0827310085297, 
i, 4, Q, 3, method, 1, obj, -632.666822025, running time, 0.33353805542, 
i, 4, Q, 3, method, 2, obj, -632.335246502, running time, 1.05819702148, 
