i, 0, Q, 5, method, 1, obj, -794.468857356, running time, 600.50538516, 
i, 0, Q, 5, method, 2, obj, -955.146541463, running time, 602.329641819, 
i, 0, Q, 5, method, relaxed, obj, -684.536498549, running time, 0.21719789505, 
i, 1, Q, 5, method, 1, obj, -688.471097836, running time, 360.257754087, 
i, 1, Q, 5, method, 2, obj, -737.018368473, running time, 263.227429152, 
i, 1, Q, 5, method, relaxed, obj, -575.074635574, running time, 0.1633040905, 
i, 2, Q, 5, method, 1, obj, -534.426524265, running time, 600.496719122, 
i, 2, Q, 5, method, 2, obj, -633.984691708, running time, 334.263502121, 
i, 2, Q, 5, method, relaxed, obj, -484.113334955, running time, 0.14096903801, 
i, 3, Q, 5, method, 1, obj, -629.335917253, running time, 264.060030937, 
i, 3, Q, 5, method, 2, obj, -821.815269766, running time, 139.290235043, 
i, 3, Q, 5, method, relaxed, obj, -572.555685316, running time, 0.212877035141, 
i, 4, Q, 5, method, 1, obj, -778.144495496, running time, 277.594213009, 
i, 4, Q, 5, method, 2, obj, -942.730423981, running time, 418.855075121, 
i, 4, Q, 5, method, relaxed, obj, -729.374429549, running time, 0.17399096489, 
i, 5, Q, 5, method, 1, obj, -1099.66782302, running time, 313.1505301, 
i, 5, Q, 5, method, 2, obj, -1195.59107527, running time, 105.260246992, 
i, 5, Q, 5, method, relaxed, obj, -999.900699636, running time, 0.191731929779, 
i, 6, Q, 5, method, 1, obj, -682.894933935, running time, 258.421581984, 
i, 6, Q, 5, method, 2, obj, -826.054937684, running time, 453.963110924, 
i, 6, Q, 5, method, relaxed, obj, -609.533595248, running time, 0.186522960663, 
i, 7, Q, 5, method, 1, obj, -733.807398842, running time, 190.108402014, 
i, 7, Q, 5, method, 2, obj, -833.064339041, running time, 92.8860561848, 
i, 7, Q, 5, method, relaxed, obj, -585.016138104, running time, 0.242037057877, 
i, 8, Q, 5, method, 1, obj, -600.596583964, running time, 375.640480995, 
i, 8, Q, 5, method, 2, obj, -689.110322417, running time, 93.6529438496, 
i, 8, Q, 5, method, relaxed, obj, -538.870850699, running time, 0.206556797028, 
i, 9, Q, 5, method, 1, obj, -919.583365925, running time, 39.5613389015, 
i, 9, Q, 5, method, 2, obj, -957.023338238, running time, 50.6883919239, 
i, 9, Q, 5, method, relaxed, obj, -777.645540468, running time, 0.231544017792, 
i, 10, Q, 5, method, 1, obj, -615.902292734, running time, 215.578498125, 
i, 10, Q, 5, method, 2, obj, -739.05986381, running time, 139.330060005, 
i, 10, Q, 5, method, relaxed, obj, -506.728864867, running time, 0.220641136169, 
i, 11, Q, 5, method, 1, obj, -735.641737444, running time, 105.696748972, 
i, 11, Q, 5, method, 2, obj, -837.011137333, running time, 82.4939570427, 
i, 11, Q, 5, method, relaxed, obj, -629.207722288, running time, 0.146111011505, 
i, 12, Q, 5, method, 1, obj, -660.571329216, running time, 373.226861, 
i, 12, Q, 5, method, 2, obj, -709.294195363, running time, 148.154537916, 
i, 12, Q, 5, method, relaxed, obj, -565.426612492, running time, 0.208271026611, 
i, 13, Q, 5, method, 1, obj, -706.651499624, running time, 295.464173794, 
i, 13, Q, 5, method, 2, obj, -770.067496319, running time, 567.651298046, 
i, 13, Q, 5, method, relaxed, obj, -633.586922777, running time, 0.202747106552, 
i, 14, Q, 5, method, 1, obj, -453.219356805, running time, 600.489550114, 
i, 14, Q, 5, method, 2, obj, -461.168520139, running time, 602.355553865, 
i, 14, Q, 5, method, relaxed, obj, -370.860107395, running time, 0.21929192543, 
i, 15, Q, 5, method, 1, obj, -407.105973856, running time, 600.494863987, 
i, 15, Q, 5, method, 2, obj, -525.999966083, running time, 429.910940886, 
i, 15, Q, 5, method, relaxed, obj, -340.75124885, running time, 0.215808868408, 
i, 16, Q, 5, method, 1, obj, -580.025095501, running time, 600.511730909, 
i, 16, Q, 5, method, 2, obj, -767.205564418, running time, 202.466037989, 
i, 16, Q, 5, method, relaxed, obj, -508.809539307, running time, 0.20608496666, 
i, 17, Q, 5, method, 1, obj, -278.559564893, running time, 331.249536037, 
i, 17, Q, 5, method, 2, obj, -373.963412185, running time, 602.337833166, 
i, 17, Q, 5, method, relaxed, obj, -259.985876219, running time, 0.202958106995, 
i, 18, Q, 5, method, 1, obj, -1281.8604798, running time, 62.1391179562, 
i, 18, Q, 5, method, 2, obj, -1296.38790992, running time, 64.6480669975, 
i, 18, Q, 5, method, relaxed, obj, -1081.75212911, running time, 0.263336896896, 
i, 19, Q, 5, method, 1, obj, -359.044660528, running time, 493.019836903, 
i, 19, Q, 5, method, 2, obj, -459.768267155, running time, 105.618993998, 
i, 19, Q, 5, method, relaxed, obj, -289.413054768, running time, 0.239475011826, 
