i, 0, Q, 1, method, 1, obj, -263.512662587, running time, 1.0082461834, 
i, 0, Q, 1, method, 2, obj, -264.22393365, running time, 0.543877124786, 
i, 0, Q, 1, method, relaxed, obj, -258.947827159, running time, 0.0885410308838, 
i, 0, Q, 2, method, 1, obj, -261.876597786, running time, 1.06679201126, 
i, 0, Q, 2, method, 2, obj, -263.538759759, running time, 1.28597903252, 
i, 0, Q, 2, method, relaxed, obj, -258.947827159, running time, 0.13433098793, 
i, 0, Q, 3, method, 1, obj, -261.654848837, running time, 1.5277531147, 
i, 0, Q, 3, method, 2, obj, -265.927029144, running time, 2.18551111221, 
i, 0, Q, 3, method, relaxed, obj, -258.947827159, running time, 0.140435934067, 
i, 0, Q, 4, method, 1, obj, -261.612369757, running time, 3.85001087189, 
i, 0, Q, 4, method, 2, obj, -264.388863526, running time, 2.41583704948, 
i, 0, Q, 4, method, relaxed, obj, -258.947827159, running time, 0.0987491607666, 
i, 0, Q, 5, method, 1, obj, -261.578626432, running time, 9.01068305969, 
i, 0, Q, 5, method, 2, obj, -263.999252988, running time, 4.09563112259, 
i, 0, Q, 5, method, relaxed, obj, -258.947827159, running time, 0.0900251865387, 
i, 0, Q, 6, method, 1, obj, -262.227734006, running time, 13.7370159626, 
i, 0, Q, 6, method, 2, obj, -265.746547635, running time, 5.38169789314, 
i, 0, Q, 6, method, relaxed, obj, -258.947827159, running time, 0.0815908908844, 
i, 0, Q, 7, method, 1, obj, -261.677208857, running time, 9.77693986893, 
i, 0, Q, 7, method, 2, obj, -265.868599471, running time, 5.46129798889, 
i, 0, Q, 7, method, relaxed, obj, -258.947827159, running time, 0.0808410644531, 
i, 0, Q, 8, method, 1, obj, -261.778684064, running time, 10.8805158138, 
i, 0, Q, 8, method, 2, obj, -266.121930252, running time, 21.1543900967, 
i, 0, Q, 8, method, relaxed, obj, -258.947827159, running time, 0.0858681201935, 
i, 0, Q, 9, method, 1, obj, -261.787118094, running time, 25.1074590683, 
i, 0, Q, 9, method, 2, obj, -264.562052945, running time, 11.1738710403, 
i, 0, Q, 9, method, relaxed, obj, -258.947827159, running time, 0.110338926315, 
i, 0, Q, 10, method, 1, obj, -261.879509279, running time, 18.7759540081, 
i, 0, Q, 10, method, 2, obj, -264.721992181, running time, 33.6550991535, 
i, 0, Q, 10, method, relaxed, obj, -258.947827159, running time, 0.0880250930786, 
i, 1, Q, 1, method, 1, obj, -154.09036479, running time, 0.323609113693, 
i, 1, Q, 1, method, 2, obj, -155.345784483, running time, 0.62358212471, 
i, 1, Q, 1, method, relaxed, obj, -143.49302492, running time, 0.0965659618378, 
i, 1, Q, 2, method, 1, obj, -154.09036479, running time, 0.690584897995, 
i, 1, Q, 2, method, 2, obj, -154.69543929, running time, 1.70152401924, 
i, 1, Q, 2, method, relaxed, obj, -143.49302492, running time, 0.102139949799, 
i, 1, Q, 3, method, 1, obj, -154.090364774, running time, 3.3197889328, 
i, 1, Q, 3, method, 2, obj, -155.543322339, running time, 6.75154900551, 
i, 1, Q, 3, method, relaxed, obj, -143.49302492, running time, 0.100131034851, 
i, 1, Q, 4, method, 1, obj, -154.09036479, running time, 5.33823204041, 
i, 1, Q, 4, method, 2, obj, -154.716025176, running time, 27.0533690453, 
i, 1, Q, 4, method, relaxed, obj, -143.49302492, running time, 0.15290594101, 
i, 1, Q, 5, method, 1, obj, -154.090364757, running time, 7.8310508728, 
i, 1, Q, 5, method, 2, obj, -154.616037336, running time, 9.74246311188, 
i, 1, Q, 5, method, relaxed, obj, -143.49302492, running time, 0.0951120853424, 
i, 1, Q, 6, method, 1, obj, -154.090364774, running time, 9.24920296669, 
i, 1, Q, 6, method, 2, obj, -154.602568165, running time, 23.5269398689, 
i, 1, Q, 6, method, relaxed, obj, -143.49302492, running time, 0.103605985641, 
i, 1, Q, 7, method, 1, obj, -154.090364773, running time, 8.56583595276, 
i, 1, Q, 7, method, 2, obj, -155.399462504, running time, 310.261927843, 
i, 1, Q, 7, method, relaxed, obj, -143.49302492, running time, 0.100919961929, 
i, 1, Q, 8, method, 1, obj, -154.090364774, running time, 11.0793600082, 
i, 1, Q, 8, method, 2, obj, -154.593008586, running time, 13.9144098759, 
i, 1, Q, 8, method, relaxed, obj, -143.49302492, running time, 0.0936319828033, 
i, 1, Q, 9, method, 1, obj, -154.090364709, running time, 13.9836177826, 
i, 1, Q, 9, method, 2, obj, -154.854731104, running time, 77.9456298351, 
i, 1, Q, 9, method, relaxed, obj, -143.49302492, running time, 0.0947198867798, 
i, 1, Q, 10, method, 1, obj, -154.090364774, running time, 13.3737339973, 
i, 1, Q, 10, method, 2, obj, -155.005669054, running time, 36.8167881966, 
i, 1, Q, 10, method, relaxed, obj, -143.49302492, running time, 0.110166072845, 
i, 2, Q, 1, method, 1, obj, -333.766755668, running time, 1.35108804703, 
i, 2, Q, 1, method, 2, obj, -357.5919486, running time, 0.888610124588, 
i, 2, Q, 1, method, relaxed, obj, -317.094798517, running time, 0.120820045471, 
i, 2, Q, 2, method, 1, obj, -332.194899719, running time, 4.04398202896, 
i, 2, Q, 2, method, 2, obj, -356.463797589, running time, 1.6135931015, 
i, 2, Q, 2, method, relaxed, obj, -317.094798517, running time, 0.103381156921, 
i, 2, Q, 3, method, 1, obj, -330.441562913, running time, 21.6961262226, 
i, 2, Q, 3, method, 2, obj, -352.359801746, running time, 3.18374896049, 
i, 2, Q, 3, method, relaxed, obj, -317.094798517, running time, 0.112588882446, 
i, 2, Q, 4, method, 1, obj, -330.846645267, running time, 56.0091359615, 
i, 2, Q, 4, method, 2, obj, -355.58617144, running time, 4.63083696365, 
i, 2, Q, 4, method, relaxed, obj, -317.094798517, running time, 0.106827020645, 
i, 2, Q, 5, method, 1, obj, -330.39426873, running time, 98.7070150375, 
i, 2, Q, 5, method, 2, obj, -354.429334107, running time, 9.00330591202, 
i, 2, Q, 5, method, relaxed, obj, -317.094798517, running time, 0.107552051544, 
i, 2, Q, 6, method, 1, obj, -330.157042241, running time, 277.856155157, 
i, 2, Q, 6, method, 2, obj, -353.700475994, running time, 7.85464000702, 
i, 2, Q, 6, method, relaxed, obj, -317.094798517, running time, 0.107517004013, 
i, 2, Q, 7, method, 1, obj, -330.184092403, running time, 345.412139893, 
i, 2, Q, 7, method, 2, obj, -354.846182275, running time, 12.2029819489, 
i, 2, Q, 7, method, relaxed, obj, -317.094798517, running time, 0.111281871796, 
i, 2, Q, 8, method, 1, obj, -329.202586679, running time, 319.38026309, 
i, 2, Q, 8, method, 2, obj, -353.585830347, running time, 13.6602070332, 
i, 2, Q, 8, method, relaxed, obj, -317.094798517, running time, 0.11
